alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6560,0.00812,0.00335,-0.0125,0.5977,0.1656
-4.500,-0.5926,0.00784,0.00304,-0.0104,0.5718,0.1818
-4.000,-0.5280,0.00762,0.00279,-0.0087,0.5459,0.1982
-3.750,-0.4961,0.00749,0.00266,-0.0078,0.5330,0.2081
-3.500,-0.4639,0.00740,0.00255,-0.0070,0.5192,0.2175
-3.250,-0.4307,0.00731,0.00246,-0.0064,0.5083,0.2258
-3.000,-0.3984,0.00721,0.00236,-0.0057,0.4959,0.2364
-2.750,-0.3657,0.00714,0.00228,-0.0050,0.4830,0.2461
-2.500,-0.3321,0.00708,0.00221,-0.0046,0.4721,0.2544
-2.250,-0.2997,0.00700,0.00214,-0.0039,0.4594,0.2660
-2.000,-0.2665,0.00695,0.00208,-0.0034,0.4484,0.2759
-1.750,-0.2330,0.00691,0.00204,-0.0030,0.4372,0.2847
-1.500,-0.2004,0.00686,0.00199,-0.0024,0.4239,0.2964
-1.250,-0.1666,0.00683,0.00195,-0.0021,0.4143,0.3061
-1.000,-0.1334,0.00680,0.00192,-0.0016,0.4029,0.3163
-0.750,-0.1004,0.00678,0.00190,-0.0012,0.3910,0.3275
-0.500,-0.0664,0.00676,0.00189,-0.0009,0.3813,0.3363
-0.250,-0.0336,0.00675,0.00187,-0.0004,0.3690,0.3486
0.000,-0.0000,0.00674,0.00187,0.0000,0.3592,0.3594
0.250,0.0336,0.00675,0.00187,0.0004,0.3486,0.3690
0.500,0.0664,0.00676,0.00189,0.0009,0.3364,0.3813
0.750,0.1004,0.00678,0.00190,0.0011,0.3276,0.3910
1.000,0.1334,0.00680,0.00192,0.0016,0.3163,0.4031
1.250,0.1666,0.00683,0.00195,0.0021,0.3062,0.4145
1.500,0.2004,0.00686,0.00199,0.0024,0.2964,0.4239
1.750,0.2330,0.00691,0.00204,0.0030,0.2847,0.4371
2.000,0.2665,0.00695,0.00209,0.0034,0.2757,0.4482
2.250,0.2997,0.00701,0.00214,0.0039,0.2658,0.4594
2.500,0.3321,0.00708,0.00222,0.0046,0.2542,0.4721
2.750,0.3659,0.00714,0.00228,0.0050,0.2464,0.4826
3.000,0.3984,0.00721,0.00236,0.0057,0.2363,0.4958
3.250,0.4307,0.00731,0.00246,0.0064,0.2257,0.5083
3.500,0.4641,0.00740,0.00255,0.0070,0.2177,0.5193
3.750,0.4962,0.00749,0.00266,0.0078,0.2082,0.5331
4.000,0.5282,0.00762,0.00279,0.0087,0.1984,0.5457
4.500,0.5927,0.00784,0.00304,0.0104,0.1818,0.5718
5.000,0.6562,0.00812,0.00335,0.0124,0.1656,0.5976
5.250,0.6873,0.00828,0.00352,0.0136,0.1576,0.6121
5.500,0.7176,0.00845,0.00372,0.0149,0.1492,0.6265
5.750,0.7487,0.00862,0.00390,0.0162,0.1426,0.6403
6.000,0.7792,0.00880,0.00411,0.0176,0.1360,0.6535
6.250,0.8078,0.00900,0.00434,0.0193,0.1287,0.6695
6.500,0.8334,0.00916,0.00454,0.0217,0.1232,0.6846
6.750,0.8594,0.00938,0.00479,0.0239,0.1173,0.6992
7.000,0.8869,0.00966,0.00510,0.0259,0.1113,0.7135
7.250,0.9155,0.00991,0.00540,0.0277,0.1064,0.7306
7.500,0.9434,0.01020,0.00574,0.0296,0.1013,0.7471
8.000,0.9984,0.01086,0.00651,0.0335,0.0919,0.7799
8.250,1.0253,0.01124,0.00694,0.0355,0.0877,0.7961
8.500,1.0516,0.01166,0.00741,0.0376,0.0836,0.8127
8.750,1.0783,0.01208,0.00791,0.0396,0.0798,0.8299
9.000,1.1030,0.01259,0.00849,0.0418,0.0761,0.8480
9.250,1.1292,0.01308,0.00905,0.0438,0.0732,0.8653
9.500,1.1530,0.01369,0.00974,0.0461,0.0699,0.8829
9.750,1.1778,0.01429,0.01042,0.0482,0.0671,0.8998
10.000,1.1998,0.01502,0.01124,0.0505,0.0644,0.9174
10.250,1.2223,0.01577,0.01207,0.0528,0.0620,0.9341
10.750,1.2608,0.01755,0.01403,0.0579,0.0576,0.9672
11.000,1.2778,0.01862,0.01517,0.0605,0.0556,0.9825
11.250,1.3002,0.01981,0.01642,0.0619,0.0537,0.9930
11.500,1.3270,0.02120,0.01787,0.0622,0.0516,0.9974
