alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6239,0.05306,0.04514,-0.0156,1.0000,0.1774
-4.750,-0.6219,0.04897,0.04101,-0.0155,1.0000,0.1806
-4.500,-0.6221,0.04495,0.03684,-0.0154,1.0000,0.1859
-4.250,-0.6192,0.04112,0.03281,-0.0148,1.0000,0.1939
-3.750,-0.5982,0.03393,0.02496,-0.0124,1.0000,0.2149
-3.500,-0.5772,0.03099,0.02187,-0.0100,1.0000,0.2362
-3.250,-0.5531,0.02820,0.01885,-0.0077,1.0000,0.2645
-3.000,-0.5266,0.02588,0.01655,-0.0045,1.0000,0.3107
-2.750,-0.5006,0.02385,0.01469,-0.0007,1.0000,0.3805
-2.500,-0.4767,0.02235,0.01363,0.0049,1.0000,0.4795
-2.250,-0.4531,0.02152,0.01321,0.0126,1.0000,0.5943
-2.000,-0.4234,0.02134,0.01321,0.0208,1.0000,0.7053
-1.750,-0.3597,0.02177,0.01344,0.0248,1.0000,0.8156
-1.500,-0.1919,0.02193,0.01281,0.0076,1.0000,0.9285
-1.250,-0.0319,0.02043,0.01081,-0.0164,1.0000,1.0000
-1.000,-0.0205,0.01977,0.01015,-0.0145,1.0000,1.0000
-0.750,-0.0116,0.01927,0.00966,-0.0119,1.0000,1.0000
-0.500,-0.0058,0.01892,0.00934,-0.0084,1.0000,1.0000
-0.250,-0.0023,0.01871,0.00916,-0.0044,1.0000,1.0000
0.000,-0.0000,0.01864,0.00910,0.0000,1.0000,1.0000
0.250,0.0023,0.01871,0.00916,0.0044,1.0000,1.0000
0.500,0.0058,0.01892,0.00934,0.0084,1.0000,1.0000
0.750,0.0117,0.01927,0.00966,0.0119,1.0000,1.0000
1.000,0.0205,0.01977,0.01015,0.0145,1.0000,1.0000
1.250,0.0319,0.02043,0.01081,0.0164,1.0000,1.0000
1.500,0.1918,0.02192,0.01281,-0.0076,0.9285,1.0000
1.750,0.3597,0.02177,0.01344,-0.0248,0.8156,1.0000
2.000,0.4234,0.02134,0.01321,-0.0208,0.7053,1.0000
2.250,0.4531,0.02152,0.01321,-0.0126,0.5943,1.0000
2.500,0.4767,0.02235,0.01363,-0.0049,0.4794,1.0000
2.750,0.5006,0.02385,0.01469,0.0007,0.3804,1.0000
3.000,0.5266,0.02588,0.01655,0.0045,0.3106,1.0000
3.250,0.5531,0.02820,0.01885,0.0077,0.2644,1.0000
3.500,0.5772,0.03099,0.02187,0.0100,0.2362,1.0000
4.000,0.6131,0.03739,0.02875,0.0139,0.2034,1.0000
4.250,0.6192,0.04112,0.03280,0.0148,0.1938,1.0000
4.500,0.6221,0.04495,0.03684,0.0154,0.1859,1.0000
5.000,0.6240,0.05306,0.04515,0.0156,0.1774,1.0000
5.250,0.6146,0.05761,0.04978,0.0137,0.1759,1.0000
