alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5901,0.00678,0.00278,-0.0013,1.0000,0.0045
-4.750,-0.5614,0.00653,0.00250,-0.0008,1.0000,0.0048
-4.500,-0.5329,0.00632,0.00226,-0.0002,1.0000,0.0051
-4.250,-0.5048,0.00607,0.00197,0.0004,1.0000,0.0059
-4.000,-0.4713,0.00585,0.00175,-0.0002,0.9986,0.0073
-3.750,-0.4370,0.00569,0.00160,-0.0012,0.9964,0.0084
-3.500,-0.4033,0.00551,0.00141,-0.0019,0.9927,0.0110
-3.250,-0.3697,0.00535,0.00127,-0.0027,0.9859,0.0133
-3.000,-0.3389,0.00520,0.00114,-0.0028,0.9739,0.0192
-2.750,-0.3112,0.00509,0.00102,-0.0022,0.9558,0.0273
-2.500,-0.2841,0.00499,0.00091,-0.0015,0.9318,0.0392
-2.250,-0.2565,0.00491,0.00080,-0.0010,0.9019,0.0578
-2.000,-0.2284,0.00480,0.00070,-0.0007,0.8695,0.0897
-1.750,-0.2002,0.00469,0.00060,-0.0004,0.8322,0.1299
-1.500,-0.1718,0.00457,0.00052,-0.0002,0.7915,0.1790
-1.250,-0.1433,0.00446,0.00045,-0.0001,0.7484,0.2340
-1.000,-0.1147,0.00438,0.00040,-0.0001,0.7040,0.2893
-0.750,-0.0860,0.00433,0.00036,-0.0000,0.6568,0.3385
-0.500,-0.0573,0.00427,0.00033,-0.0000,0.6076,0.3955
-0.250,-0.0287,0.00423,0.00031,-0.0000,0.5585,0.4528
0.000,-0.0000,0.00423,0.00030,-0.0000,0.5049,0.5054
0.250,0.0286,0.00423,0.00031,0.0000,0.4506,0.5599
0.500,0.0574,0.00426,0.00033,0.0000,0.3990,0.6079
0.750,0.0860,0.00433,0.00036,0.0000,0.3399,0.6565
1.000,0.1147,0.00438,0.00040,0.0001,0.2901,0.7028
1.250,0.1432,0.00449,0.00045,0.0001,0.2272,0.7485
1.500,0.1718,0.00457,0.00052,0.0002,0.1795,0.7912
1.750,0.2001,0.00470,0.00061,0.0004,0.1270,0.8312
2.000,0.2284,0.00480,0.00070,0.0007,0.0901,0.8694
2.250,0.2564,0.00491,0.00080,0.0010,0.0574,0.9023
2.500,0.2841,0.00499,0.00091,0.0016,0.0392,0.9319
2.750,0.3112,0.00509,0.00102,0.0022,0.0268,0.9556
3.000,0.3389,0.00520,0.00114,0.0028,0.0191,0.9742
3.250,0.3697,0.00535,0.00127,0.0027,0.0133,0.9860
3.500,0.4032,0.00550,0.00141,0.0019,0.0111,0.9926
3.750,0.4369,0.00569,0.00160,0.0012,0.0084,0.9964
4.000,0.4715,0.00585,0.00175,0.0002,0.0074,0.9986
4.250,0.5049,0.00607,0.00197,-0.0004,0.0059,1.0000
4.500,0.5329,0.00632,0.00226,0.0002,0.0051,1.0000
4.750,0.5614,0.00653,0.00249,0.0007,0.0048,1.0000
5.000,0.5901,0.00679,0.00278,0.0013,0.0045,1.0000
5.250,0.6190,0.00707,0.00311,0.0018,0.0041,1.0000
5.500,0.6481,0.00736,0.00342,0.0023,0.0037,1.0000
5.750,0.6756,0.00819,0.00441,0.0031,0.0030,1.0000
6.000,0.7045,0.00866,0.00496,0.0037,0.0029,1.0000
6.250,0.7326,0.00940,0.00583,0.0045,0.0028,1.0000
6.500,0.7602,0.01031,0.00690,0.0053,0.0027,1.0000
6.750,0.7855,0.01198,0.00885,0.0064,0.0026,1.0000
7.000,0.8067,0.01494,0.01223,0.0079,0.0025,1.0000
7.250,0.7977,0.02725,0.02553,0.0109,0.0024,1.0000
7.500,0.7891,0.03913,0.03792,0.0112,0.0024,1.0000
7.750,0.7861,0.04824,0.04728,0.0093,0.0024,1.0000
8.000,0.7825,0.05686,0.05606,0.0053,0.0023,1.0000
8.250,0.7785,0.06566,0.06497,-0.0017,0.0024,1.0000
8.500,0.7720,0.07439,0.07372,-0.0134,0.0024,1.0000
8.750,0.7639,0.08107,0.08039,-0.0195,0.0024,1.0000
9.000,0.7574,0.08719,0.08650,-0.0237,0.0024,1.0000
9.500,0.7482,0.09865,0.09795,-0.0302,0.0024,1.0000
9.750,0.7452,0.10409,0.10338,-0.0328,0.0023,1.0000
10.000,0.7439,0.10917,0.10845,-0.0352,0.0022,1.0000
10.250,0.7438,0.11406,0.11333,-0.0374,0.0021,1.0000
10.500,0.7441,0.11880,0.11808,-0.0394,0.0020,1.0000
11.000,0.7492,0.12726,0.12653,-0.0430,0.0018,1.0000
11.250,0.7519,0.13153,0.13080,-0.0448,0.0018,1.0000
