alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5775,0.00674,0.00206,-0.0008,0.7588,0.1205
-4.750,-0.5491,0.00663,0.00195,-0.0007,0.7405,0.1309
-4.500,-0.5206,0.00653,0.00184,-0.0006,0.7221,0.1414
-4.250,-0.4920,0.00643,0.00174,-0.0004,0.7037,0.1528
-4.000,-0.4634,0.00633,0.00165,-0.0003,0.6853,0.1654
-3.750,-0.4348,0.00624,0.00156,-0.0002,0.6674,0.1780
-3.500,-0.4060,0.00616,0.00148,-0.0002,0.6499,0.1910
-3.250,-0.3772,0.00608,0.00140,-0.0001,0.6317,0.2045
-3.000,-0.3485,0.00599,0.00133,-0.0000,0.6145,0.2198
-2.750,-0.3196,0.00592,0.00127,0.0000,0.5969,0.2346
-2.500,-0.2907,0.00585,0.00121,0.0000,0.5795,0.2501
-2.250,-0.2618,0.00580,0.00116,0.0001,0.5617,0.2653
-2.000,-0.2328,0.00574,0.00111,0.0001,0.5450,0.2812
-1.750,-0.2038,0.00569,0.00107,0.0001,0.5278,0.2967
-1.500,-0.1748,0.00565,0.00103,0.0001,0.5102,0.3133
-1.250,-0.1457,0.00561,0.00100,0.0001,0.4939,0.3297
-1.000,-0.1166,0.00559,0.00098,0.0001,0.4770,0.3458
-0.750,-0.0874,0.00557,0.00096,0.0001,0.4608,0.3616
-0.500,-0.0583,0.00555,0.00095,0.0000,0.4438,0.3778
-0.250,-0.0291,0.00554,0.00094,0.0000,0.4276,0.3945
0.000,0.0000,0.00554,0.00094,-0.0000,0.4111,0.4109
0.250,0.0292,0.00554,0.00094,-0.0000,0.3945,0.4272
0.500,0.0583,0.00555,0.00095,-0.0000,0.3780,0.4438
0.750,0.0874,0.00556,0.00096,-0.0001,0.3619,0.4606
1.000,0.1166,0.00559,0.00098,-0.0001,0.3458,0.4770
1.250,0.1457,0.00561,0.00100,-0.0001,0.3296,0.4938
1.500,0.1748,0.00565,0.00103,-0.0001,0.3134,0.5109
1.750,0.2038,0.00570,0.00107,-0.0001,0.2966,0.5276
2.000,0.2328,0.00575,0.00111,-0.0001,0.2805,0.5446
2.250,0.2618,0.00580,0.00116,-0.0001,0.2652,0.5621
2.500,0.2907,0.00585,0.00121,-0.0000,0.2500,0.5797
2.750,0.3196,0.00592,0.00127,-0.0000,0.2342,0.5972
3.000,0.3484,0.00600,0.00133,0.0000,0.2192,0.6144
3.250,0.3773,0.00607,0.00140,0.0001,0.2051,0.6319
3.500,0.4060,0.00616,0.00148,0.0002,0.1909,0.6495
3.750,0.4347,0.00625,0.00156,0.0002,0.1775,0.6675
4.000,0.4634,0.00634,0.00165,0.0003,0.1651,0.6854
4.250,0.4920,0.00643,0.00174,0.0004,0.1529,0.7039
4.500,0.5206,0.00653,0.00184,0.0006,0.1413,0.7222
4.750,0.5491,0.00663,0.00195,0.0007,0.1307,0.7404
5.000,0.5775,0.00674,0.00206,0.0008,0.1206,0.7586
5.250,0.6059,0.00686,0.00218,0.0010,0.1113,0.7764
5.500,0.6342,0.00699,0.00231,0.0012,0.1020,0.7938
5.750,0.6624,0.00713,0.00245,0.0014,0.0937,0.8105
6.000,0.6906,0.00726,0.00259,0.0016,0.0867,0.8272
6.250,0.7189,0.00738,0.00272,0.0018,0.0809,0.8428
6.500,0.7470,0.00753,0.00287,0.0021,0.0750,0.8578
6.750,0.7749,0.00769,0.00304,0.0024,0.0690,0.8719
7.000,0.8029,0.00785,0.00320,0.0027,0.0645,0.8851
7.250,0.8308,0.00800,0.00336,0.0030,0.0602,0.8984
7.500,0.8583,0.00817,0.00355,0.0034,0.0560,0.9106
7.750,0.8858,0.00834,0.00373,0.0038,0.0527,0.9214
8.250,0.9402,0.00873,0.00412,0.0047,0.0461,0.9417
8.500,0.9674,0.00890,0.00430,0.0052,0.0440,0.9501
8.750,0.9939,0.00913,0.00452,0.0058,0.0411,0.9584
9.000,1.0202,0.00931,0.00472,0.0065,0.0395,0.9661
9.250,1.0461,0.00956,0.00496,0.0072,0.0368,0.9728
9.500,1.0723,0.00976,0.00516,0.0080,0.0355,0.9793
9.750,1.0985,0.01002,0.00541,0.0086,0.0337,0.9848
10.000,1.1276,0.01026,0.00565,0.0086,0.0322,0.9888
10.250,1.1551,0.01052,0.00591,0.0090,0.0308,0.9930
10.500,1.1857,0.01083,0.00620,0.0087,0.0291,0.9948
10.750,1.2178,0.01111,0.00648,0.0080,0.0280,0.9957
11.000,1.2491,0.01145,0.00681,0.0075,0.0266,0.9966
11.250,1.2803,0.01177,0.00712,0.0070,0.0256,0.9976
11.500,1.3113,0.01208,0.00744,0.0066,0.0247,0.9986
11.750,1.3414,0.01246,0.00781,0.0064,0.0236,0.9995
12.000,1.3688,0.01281,0.00816,0.0066,0.0226,1.0000
12.250,1.3859,0.01307,0.00844,0.0090,0.0221,1.0000
12.500,1.4042,0.01337,0.00875,0.0112,0.0215,1.0000
12.750,1.4237,0.01374,0.00912,0.0130,0.0208,1.0000
13.000,1.4436,0.01414,0.00954,0.0147,0.0199,1.0000
13.250,1.4648,0.01448,0.00990,0.0162,0.0196,1.0000
13.500,1.4833,0.01485,0.01029,0.0181,0.0192,1.0000
13.750,1.5003,0.01528,0.01073,0.0202,0.0187,1.0000
14.000,1.5167,0.01578,0.01125,0.0223,0.0181,1.0000
14.250,1.5324,0.01636,0.01185,0.0243,0.0174,1.0000
14.500,1.5503,0.01686,0.01238,0.0260,0.0171,1.0000
14.750,1.5674,0.01742,0.01297,0.0277,0.0169,1.0000
15.000,1.5835,0.01806,0.01364,0.0294,0.0165,1.0000
