alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5758,0.03676,0.02711,-0.0109,1.0000,0.1159
-4.750,-0.5500,0.03321,0.02295,-0.0102,1.0000,0.1161
-4.500,-0.5223,0.03023,0.01930,-0.0093,1.0000,0.1208
-4.250,-0.4947,0.02771,0.01644,-0.0085,1.0000,0.1334
-4.000,-0.4649,0.02518,0.01370,-0.0074,1.0000,0.1457
-3.750,-0.4368,0.02295,0.01160,-0.0064,1.0000,0.1752
-3.500,-0.4075,0.02057,0.00950,-0.0054,1.0000,0.2328
-3.250,-0.3992,0.01675,0.00813,-0.0004,1.0000,0.5495
-3.000,-0.2565,0.01695,0.00796,-0.0096,1.0000,1.0000
-2.750,-0.2382,0.01627,0.00691,-0.0096,1.0000,1.0000
-2.500,-0.2184,0.01577,0.00613,-0.0092,1.0000,1.0000
-2.250,-0.1976,0.01540,0.00549,-0.0087,1.0000,1.0000
-2.000,-0.1763,0.01511,0.00497,-0.0080,1.0000,1.0000
-1.750,-0.1547,0.01489,0.00455,-0.0071,1.0000,1.0000
-1.500,-0.1329,0.01472,0.00416,-0.0062,1.0000,1.0000
-1.250,-0.1108,0.01458,0.00388,-0.0053,1.0000,1.0000
-1.000,-0.0887,0.01448,0.00366,-0.0043,1.0000,1.0000
-0.750,-0.0665,0.01440,0.00349,-0.0033,1.0000,1.0000
-0.500,-0.0444,0.01435,0.00336,-0.0022,1.0000,1.0000
-0.250,-0.0222,0.01432,0.00329,-0.0011,1.0000,1.0000
0.000,-0.0000,0.01431,0.00327,0.0000,1.0000,1.0000
0.250,0.0222,0.01432,0.00329,0.0011,1.0000,1.0000
0.500,0.0444,0.01435,0.00336,0.0022,1.0000,1.0000
0.750,0.0665,0.01440,0.00349,0.0033,1.0000,1.0000
1.000,0.0886,0.01448,0.00366,0.0043,1.0000,1.0000
1.250,0.1108,0.01458,0.00388,0.0053,1.0000,1.0000
1.500,0.1329,0.01472,0.00416,0.0062,1.0000,1.0000
1.750,0.1547,0.01489,0.00455,0.0071,1.0000,1.0000
2.000,0.1763,0.01511,0.00497,0.0080,1.0000,1.0000
2.250,0.1977,0.01540,0.00549,0.0087,1.0000,1.0000
2.500,0.2184,0.01577,0.00612,0.0092,1.0000,1.0000
2.750,0.2382,0.01627,0.00691,0.0096,1.0000,1.0000
3.000,0.2566,0.01694,0.00790,0.0096,1.0000,1.0000
3.250,0.3992,0.01675,0.00813,0.0004,0.5495,1.0000
3.500,0.4075,0.02057,0.00950,0.0054,0.2328,1.0000
3.750,0.4367,0.02295,0.01160,0.0064,0.1752,1.0000
4.000,0.4649,0.02518,0.01370,0.0074,0.1456,1.0000
4.250,0.4947,0.02771,0.01644,0.0085,0.1334,1.0000
4.500,0.5223,0.03023,0.01930,0.0093,0.1208,1.0000
4.750,0.5499,0.03321,0.02294,0.0102,0.1160,1.0000
5.000,0.5758,0.03676,0.02710,0.0109,0.1159,1.0000
5.250,0.5992,0.04074,0.03169,0.0113,0.1174,1.0000
5.500,0.6198,0.04494,0.03641,0.0113,0.1179,1.0000
5.750,0.6379,0.04945,0.04142,0.0109,0.1191,1.0000
6.000,0.6532,0.05491,0.04743,0.0092,0.1273,1.0000
6.250,0.6663,0.06117,0.05407,0.0063,0.1428,1.0000
6.500,0.6124,0.05826,0.05187,0.0043,0.1641,1.0000
