alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5918,0.00670,0.00219,-0.0022,0.8625,0.0608
-4.750,-0.5623,0.00658,0.00204,-0.0019,0.8443,0.0679
-4.250,-0.5035,0.00633,0.00178,-0.0014,0.8042,0.0875
-4.000,-0.4741,0.00620,0.00165,-0.0012,0.7833,0.1012
-3.750,-0.4447,0.00609,0.00154,-0.0010,0.7620,0.1147
-3.500,-0.4153,0.00598,0.00143,-0.0008,0.7402,0.1305
-3.250,-0.3857,0.00588,0.00133,-0.0007,0.7172,0.1465
-3.000,-0.3562,0.00578,0.00124,-0.0005,0.6954,0.1646
-2.750,-0.3267,0.00568,0.00115,-0.0004,0.6722,0.1848
-2.500,-0.2972,0.00560,0.00108,-0.0003,0.6497,0.2055
-2.250,-0.2676,0.00552,0.00101,-0.0002,0.6266,0.2266
-2.000,-0.2379,0.00545,0.00095,-0.0002,0.6048,0.2473
-1.750,-0.2083,0.00539,0.00090,-0.0001,0.5812,0.2701
-1.500,-0.1786,0.00532,0.00085,-0.0001,0.5605,0.2932
-1.250,-0.1488,0.00529,0.00082,-0.0001,0.5371,0.3133
-1.000,-0.1192,0.00524,0.00079,-0.0000,0.5154,0.3374
-0.750,-0.0893,0.00523,0.00077,-0.0000,0.4923,0.3583
-0.500,-0.0596,0.00519,0.00075,-0.0000,0.4715,0.3821
-0.250,-0.0297,0.00518,0.00074,-0.0000,0.4496,0.4038
0.000,-0.0000,0.00517,0.00073,0.0000,0.4270,0.4270
0.250,0.0297,0.00519,0.00074,0.0000,0.4034,0.4491
0.500,0.0596,0.00519,0.00075,0.0000,0.3826,0.4713
0.750,0.0893,0.00523,0.00077,0.0000,0.3585,0.4925
1.000,0.1191,0.00524,0.00079,0.0000,0.3372,0.5157
1.250,0.1488,0.00529,0.00082,0.0001,0.3137,0.5374
1.500,0.1786,0.00532,0.00085,0.0001,0.2931,0.5599
1.750,0.2083,0.00539,0.00090,0.0001,0.2695,0.5822
2.000,0.2380,0.00544,0.00095,0.0002,0.2485,0.6050
2.250,0.2676,0.00552,0.00101,0.0002,0.2260,0.6270
2.500,0.2971,0.00561,0.00108,0.0003,0.2041,0.6498
2.750,0.3267,0.00568,0.00115,0.0004,0.1848,0.6721
3.000,0.3563,0.00578,0.00124,0.0005,0.1655,0.6951
3.250,0.3857,0.00588,0.00133,0.0007,0.1466,0.7175
3.500,0.4153,0.00597,0.00143,0.0008,0.1307,0.7397
3.750,0.4447,0.00609,0.00154,0.0010,0.1147,0.7614
4.000,0.4741,0.00620,0.00165,0.0012,0.1011,0.7839
4.250,0.5035,0.00633,0.00178,0.0014,0.0874,0.8044
4.750,0.5624,0.00658,0.00204,0.0019,0.0680,0.8444
5.000,0.5918,0.00670,0.00218,0.0022,0.0610,0.8624
5.250,0.6212,0.00683,0.00233,0.0025,0.0544,0.8795
5.500,0.6505,0.00696,0.00248,0.0028,0.0490,0.8955
5.750,0.6797,0.00711,0.00265,0.0033,0.0438,0.9103
6.000,0.7086,0.00728,0.00283,0.0037,0.0389,0.9238
6.250,0.7379,0.00743,0.00300,0.0042,0.0362,0.9358
6.500,0.7667,0.00761,0.00318,0.0047,0.0330,0.9471
6.750,0.7950,0.00780,0.00338,0.0054,0.0299,0.9572
7.000,0.8236,0.00798,0.00357,0.0060,0.0280,0.9658
7.250,0.8518,0.00820,0.00379,0.0068,0.0256,0.9738
7.500,0.8808,0.00839,0.00400,0.0074,0.0242,0.9806
7.750,0.9103,0.00863,0.00423,0.0078,0.0223,0.9861
8.000,0.9427,0.00887,0.00447,0.0077,0.0209,0.9898
8.250,0.9737,0.00912,0.00473,0.0079,0.0196,0.9935
8.500,1.0070,0.00942,0.00503,0.0076,0.0182,0.9952
8.750,1.0419,0.00969,0.00531,0.0070,0.0174,0.9961
9.000,1.0763,0.01001,0.00563,0.0066,0.0163,0.9970
9.250,1.1103,0.01034,0.00598,0.0062,0.0153,0.9980
9.500,1.1443,0.01065,0.00630,0.0059,0.0146,0.9989
9.750,1.1779,0.01101,0.00668,0.0057,0.0139,0.9997
10.000,1.2058,0.01141,0.00711,0.0067,0.0130,1.0000
10.250,1.2296,0.01171,0.00743,0.0085,0.0127,1.0000
10.500,1.2541,0.01203,0.00778,0.0102,0.0123,1.0000
10.750,1.2789,0.01240,0.00818,0.0119,0.0119,1.0000
11.000,1.3042,0.01282,0.00863,0.0134,0.0114,1.0000
11.250,1.3289,0.01334,0.00920,0.0150,0.0107,1.0000
11.500,1.3553,0.01375,0.00965,0.0164,0.0105,1.0000
11.750,1.3812,0.01421,0.01016,0.0178,0.0102,1.0000
12.000,1.4066,0.01471,0.01071,0.0193,0.0099,1.0000
12.250,1.4312,0.01526,0.01131,0.0209,0.0096,1.0000
12.500,1.4549,0.01586,0.01197,0.0227,0.0093,1.0000
12.750,1.4766,0.01658,0.01276,0.0246,0.0089,1.0000
13.000,1.4966,0.01738,0.01365,0.0268,0.0087,1.0000
13.250,1.5170,0.01809,0.01443,0.0289,0.0085,1.0000
13.500,1.5331,0.01885,0.01528,0.0317,0.0084,1.0000
13.750,1.5458,0.01972,0.01624,0.0347,0.0082,1.0000
14.000,1.5575,0.02072,0.01732,0.0376,0.0081,1.0000
14.250,1.5676,0.02189,0.01858,0.0403,0.0079,1.0000
14.500,1.5758,0.02327,0.02007,0.0427,0.0078,1.0000
14.750,1.5824,0.02487,0.02178,0.0448,0.0076,1.0000
15.000,1.5879,0.02672,0.02373,0.0465,0.0075,1.0000
