alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6860,0.02933,0.02005,0.0213,1.0000,0.4923
-4.750,-0.6717,0.02869,0.01940,0.0241,1.0000,0.5184
-4.500,-0.6506,0.02855,0.01940,0.0265,1.0000,0.5427
-4.250,-0.6351,0.02807,0.01895,0.0292,1.0000,0.5689
-4.000,-0.6147,0.02801,0.01900,0.0318,1.0000,0.5936
-3.750,-0.5985,0.02769,0.01870,0.0345,1.0000,0.6196
-3.500,-0.5787,0.02769,0.01879,0.0372,1.0000,0.6445
-3.250,-0.5619,0.02753,0.01866,0.0399,1.0000,0.6704
-3.000,-0.5424,0.02761,0.01879,0.0426,1.0000,0.6955
-2.750,-0.5242,0.02763,0.01884,0.0452,1.0000,0.7213
-2.500,-0.5044,0.02779,0.01903,0.0476,1.0000,0.7473
-2.250,-0.4825,0.02804,0.01929,0.0497,1.0000,0.7729
-2.000,-0.4635,0.02817,0.01941,0.0519,1.0000,0.8009
-1.750,-0.4284,0.02882,0.02006,0.0518,1.0000,0.8259
-1.500,-0.3953,0.02925,0.02046,0.0513,1.0000,0.8537
-1.250,-0.3438,0.02999,0.02114,0.0474,1.0000,0.8805
-1.000,-0.2756,0.03077,0.02184,0.0400,1.0000,0.9059
-0.750,-0.2054,0.03130,0.02231,0.0311,1.0000,0.9324
-0.500,-0.1294,0.03170,0.02266,0.0205,1.0000,0.9580
-0.250,-0.0502,0.03191,0.02286,0.0083,1.0000,0.9838
0.000,0.0000,0.03194,0.02289,-0.0000,1.0000,1.0000
0.250,0.0502,0.03190,0.02285,-0.0083,0.9838,1.0000
0.500,0.1293,0.03169,0.02266,-0.0204,0.9580,1.0000
0.750,0.2053,0.03130,0.02231,-0.0311,0.9324,1.0000
1.000,0.2755,0.03076,0.02184,-0.0399,0.9059,1.0000
1.500,0.3952,0.02925,0.02046,-0.0513,0.8538,1.0000
1.750,0.4283,0.02881,0.02005,-0.0518,0.8259,1.0000
2.000,0.4634,0.02816,0.01940,-0.0518,0.8009,1.0000
2.250,0.4824,0.02804,0.01929,-0.0497,0.7729,1.0000
2.500,0.5043,0.02779,0.01902,-0.0476,0.7473,1.0000
2.750,0.5241,0.02763,0.01884,-0.0452,0.7213,1.0000
3.000,0.5423,0.02761,0.01879,-0.0426,0.6955,1.0000
3.250,0.5618,0.02753,0.01866,-0.0399,0.6704,1.0000
3.500,0.5786,0.02769,0.01878,-0.0372,0.6445,1.0000
3.750,0.5984,0.02769,0.01870,-0.0345,0.6197,1.0000
4.000,0.6146,0.02800,0.01899,-0.0318,0.5936,1.0000
4.250,0.6350,0.02807,0.01894,-0.0292,0.5689,1.0000
4.500,0.6505,0.02855,0.01940,-0.0265,0.5427,1.0000
4.750,0.6716,0.02869,0.01940,-0.0240,0.5184,1.0000
5.000,0.6859,0.02933,0.02004,-0.0213,0.4924,1.0000
5.250,0.7072,0.02959,0.02011,-0.0190,0.4684,1.0000
5.500,0.7205,0.03039,0.02095,-0.0162,0.4433,1.0000
5.750,0.7416,0.03079,0.02116,-0.0140,0.4202,1.0000
6.000,0.7541,0.03176,0.02218,-0.0112,0.3968,1.0000
6.250,0.7718,0.03247,0.02280,-0.0088,0.3748,1.0000
6.500,0.7901,0.03329,0.02349,-0.0065,0.3543,1.0000
6.750,0.8023,0.03450,0.02476,-0.0038,0.3348,1.0000
7.000,0.8163,0.03569,0.02597,-0.0013,0.3166,1.0000
7.250,0.8304,0.03696,0.02725,0.0011,0.3000,1.0000
7.500,0.8433,0.03840,0.02871,0.0036,0.2849,1.0000
7.750,0.8555,0.03996,0.03031,0.0061,0.2713,1.0000
8.000,0.8694,0.04152,0.03189,0.0083,0.2588,1.0000
8.250,0.8886,0.04292,0.03318,0.0100,0.2466,1.0000
8.500,0.8801,0.04581,0.03650,0.0139,0.2386,1.0000
8.750,0.8925,0.04777,0.03847,0.0160,0.2294,1.0000
9.000,0.8817,0.05103,0.04204,0.0194,0.2235,1.0000
9.250,0.8956,0.05305,0.04405,0.0211,0.2154,1.0000
9.500,0.8669,0.05757,0.04892,0.0248,0.2132,1.0000
10.000,0.8691,0.06342,0.05487,0.0284,0.2025,1.0000
10.250,0.8289,0.06885,0.06045,0.0309,0.2028,1.0000
10.750,0.6146,0.10641,0.09797,0.0099,0.2315,1.0000
11.000,0.5730,0.11954,0.11106,0.0013,0.2627,1.0000
