alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5965,0.00692,0.00223,-0.0020,0.7528,0.1130
-4.750,-0.5671,0.00679,0.00210,-0.0017,0.7343,0.1235
-4.500,-0.5376,0.00667,0.00198,-0.0015,0.7164,0.1344
-4.250,-0.5081,0.00656,0.00187,-0.0013,0.6983,0.1462
-4.000,-0.4785,0.00644,0.00176,-0.0011,0.6801,0.1589
-3.750,-0.4489,0.00634,0.00166,-0.0009,0.6623,0.1718
-3.500,-0.4192,0.00625,0.00157,-0.0008,0.6444,0.1852
-3.250,-0.3895,0.00616,0.00149,-0.0007,0.6257,0.1991
-3.000,-0.3598,0.00608,0.00141,-0.0005,0.6083,0.2140
-2.750,-0.3300,0.00600,0.00134,-0.0004,0.5902,0.2288
-2.500,-0.3001,0.00593,0.00128,-0.0003,0.5728,0.2441
-2.250,-0.2703,0.00588,0.00122,-0.0003,0.5547,0.2592
-2.000,-0.2403,0.00582,0.00117,-0.0002,0.5379,0.2749
-1.750,-0.2104,0.00577,0.00113,-0.0001,0.5208,0.2905
-1.500,-0.1804,0.00574,0.00109,-0.0001,0.5027,0.3066
-1.250,-0.1504,0.00570,0.00106,-0.0001,0.4864,0.3228
-1.000,-0.1203,0.00567,0.00104,-0.0000,0.4696,0.3387
-0.750,-0.0903,0.00565,0.00102,-0.0000,0.4533,0.3547
