alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6364,0.03644,0.02691,-0.0131,1.0000,0.1541
-4.750,-0.6139,0.03324,0.02331,-0.0118,1.0000,0.1626
-4.500,-0.5896,0.03045,0.02012,-0.0104,1.0000,0.1778
-4.250,-0.5618,0.02788,0.01747,-0.0089,1.0000,0.1967
-4.000,-0.5338,0.02561,0.01508,-0.0073,1.0000,0.2285
-3.750,-0.5065,0.02352,0.01319,-0.0055,1.0000,0.2792
-3.500,-0.4828,0.02151,0.01168,-0.0029,1.0000,0.3674
-3.250,-0.4664,0.01989,0.01092,0.0021,1.0000,0.5027
-3.000,-0.4521,0.01917,0.01082,0.0093,1.0000,0.6401
-2.750,-0.4307,0.01923,0.01111,0.0170,1.0000,0.7544
-2.500,-0.3712,0.02010,0.01165,0.0195,1.0000,0.8616
-2.250,-0.2077,0.02037,0.01090,-0.0008,1.0000,0.9627
-2.000,-0.1153,0.01911,0.00921,-0.0145,1.0000,1.0000
-1.750,-0.1001,0.01838,0.00839,-0.0140,1.0000,1.0000
-1.500,-0.0847,0.01780,0.00772,-0.0130,1.0000,1.0000
-1.250,-0.0693,0.01735,0.00721,-0.0116,1.0000,1.0000
-1.000,-0.0544,0.01700,0.00682,-0.0098,1.0000,1.0000
-0.750,-0.0400,0.01674,0.00653,-0.0077,1.0000,1.0000
-0.500,-0.0263,0.01657,0.00633,-0.0053,1.0000,1.0000
-0.250,-0.0132,0.01646,0.00622,-0.0026,1.0000,1.0000
0.000,0.0000,0.01643,0.00619,0.0000,1.0000,1.0000
0.250,0.0132,0.01646,0.00622,0.0026,1.0000,1.0000
0.500,0.0263,0.01657,0.00633,0.0053,1.0000,1.0000
0.750,0.0400,0.01674,0.00653,0.0077,1.0000,1.0000
1.000,0.0544,0.01700,0.00682,0.0098,1.0000,1.0000
1.250,0.0694,0.01734,0.00721,0.0116,1.0000,1.0000
1.500,0.0847,0.01780,0.00772,0.0130,1.0000,1.0000
1.750,0.1001,0.01838,0.00838,0.0140,1.0000,1.0000
2.000,0.1153,0.01910,0.00920,0.0145,1.0000,1.0000
2.250,0.2076,0.02037,0.01090,0.0008,0.9627,1.0000
2.500,0.3712,0.02009,0.01165,-0.0195,0.8616,1.0000
2.750,0.4307,0.01923,0.01111,-0.0170,0.7543,1.0000
3.000,0.4521,0.01917,0.01081,-0.0093,0.6400,1.0000
3.250,0.4664,0.01989,0.01092,-0.0021,0.5026,1.0000
3.500,0.4828,0.02151,0.01168,0.0029,0.3673,1.0000
3.750,0.5066,0.02352,0.01316,0.0055,0.2791,1.0000
4.000,0.5338,0.02561,0.01508,0.0073,0.2285,1.0000
4.250,0.5618,0.02788,0.01747,0.0089,0.1967,1.0000
4.500,0.5897,0.03045,0.02012,0.0104,0.1777,1.0000
4.750,0.6139,0.03325,0.02332,0.0118,0.1626,1.0000
5.000,0.6364,0.03644,0.02691,0.0131,0.1540,1.0000
5.250,0.6531,0.04013,0.03115,0.0141,0.1483,1.0000
5.500,0.6688,0.04365,0.03496,0.0151,0.1415,1.0000
5.750,0.6788,0.04781,0.03949,0.0156,0.1389,1.0000
6.000,0.6838,0.05237,0.04440,0.0154,0.1388,1.0000
6.250,0.6855,0.05707,0.04935,0.0147,0.1390,1.0000
6.500,0.6847,0.06186,0.05432,0.0136,0.1393,1.0000
7.000,0.6603,0.07313,0.06584,0.0060,0.1459,1.0000
7.500,0.6523,0.08374,0.07638,-0.0004,0.1509,1.0000
7.750,0.5509,0.08031,0.07324,0.0033,0.1627,1.0000
8.250,0.5324,0.09189,0.08474,-0.0034,0.1865,1.0000
8.750,0.6201,0.11671,0.10918,-0.0334,0.3320,1.0000
9.250,0.6256,0.12433,0.11673,-0.0346,0.3139,1.0000
9.500,0.6395,0.12928,0.12169,-0.0349,0.3054,1.0000
10.000,0.6444,0.13671,0.12905,-0.0366,0.2898,1.0000
10.250,0.6598,0.14202,0.13436,-0.0367,0.2787,1.0000
10.750,0.6582,0.14772,0.13998,-0.0390,0.2590,1.0000
11.000,0.6676,0.15223,0.14447,-0.0397,0.2509,1.0000
11.250,0.6821,0.15739,0.14967,-0.0401,0.2415,1.0000
11.500,0.6783,0.15957,0.15178,-0.0421,0.2352,1.0000
11.750,0.7000,0.16657,0.15881,-0.0421,0.2279,1.0000
12.250,0.5252,0.15171,0.14442,-0.0226,0.2243,1.0000
12.750,0.7196,0.18009,0.17222,-0.0484,0.2004,1.0000
13.000,0.5376,0.16029,0.15305,-0.0240,0.2046,1.0000
13.250,0.7358,0.18786,0.17995,-0.0516,0.1873,1.0000
13.500,0.7453,0.19180,0.18388,-0.0530,0.1803,1.0000
13.750,0.7586,0.19753,0.18962,-0.0542,0.1767,1.0000
