alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5826,0.02901,0.01800,-0.0084,1.0000,0.1638
-4.750,-0.5567,0.02684,0.01584,-0.0073,1.0000,0.1851
-4.500,-0.5298,0.02475,0.01370,-0.0061,1.0000,0.2158
-4.250,-0.5046,0.02271,0.01201,-0.0047,1.0000,0.2684
-4.000,-0.4840,0.02055,0.01064,-0.0024,1.0000,0.3768
-3.750,-0.4727,0.01889,0.01009,0.0028,1.0000,0.5431
-3.500,-0.4602,0.01837,0.01016,0.0096,1.0000,0.6811
-3.250,-0.4401,0.01859,0.01052,0.0164,1.0000,0.7863
-3.000,-0.3849,0.01955,0.01111,0.0177,1.0000,0.8826
-2.750,-0.2332,0.01991,0.01043,-0.0022,1.0000,0.9712
-2.500,-0.1597,0.01877,0.00885,-0.0131,1.0000,1.0000
-2.250,-0.1445,0.01802,0.00798,-0.0129,1.0000,1.0000
-2.000,-0.1286,0.01743,0.00728,-0.0124,1.0000,1.0000
-1.750,-0.1123,0.01695,0.00671,-0.0116,1.0000,1.0000
-1.500,-0.0958,0.01658,0.00624,-0.0105,1.0000,1.0000
-1.250,-0.0792,0.01629,0.00588,-0.0091,1.0000,1.0000
-1.000,-0.0627,0.01607,0.00561,-0.0076,1.0000,1.0000
-0.750,-0.0466,0.01590,0.00540,-0.0059,1.0000,1.0000
-0.500,-0.0308,0.01579,0.00526,-0.0040,1.0000,1.0000
-0.250,-0.0153,0.01572,0.00517,-0.0020,1.0000,1.0000
0.000,0.0000,0.01570,0.00514,0.0000,1.0000,1.0000
0.250,0.0153,0.01572,0.00517,0.0020,1.0000,1.0000
0.500,0.0308,0.01579,0.00525,0.0040,1.0000,1.0000
0.750,0.0466,0.01590,0.00540,0.0059,1.0000,1.0000
1.000,0.0627,0.01607,0.00560,0.0076,1.0000,1.0000
1.250,0.0792,0.01629,0.00588,0.0091,1.0000,1.0000
1.500,0.0958,0.01658,0.00624,0.0105,1.0000,1.0000
1.750,0.1124,0.01695,0.00671,0.0116,1.0000,1.0000
2.000,0.1287,0.01742,0.00728,0.0124,1.0000,1.0000
2.250,0.1446,0.01802,0.00798,0.0129,1.0000,1.0000
2.500,0.1598,0.01877,0.00885,0.0131,1.0000,1.0000
2.750,0.2333,0.01991,0.01043,0.0022,0.9713,1.0000
3.000,0.3849,0.01955,0.01111,-0.0177,0.8826,1.0000
3.250,0.4401,0.01859,0.01052,-0.0164,0.7863,1.0000
3.500,0.4602,0.01837,0.01016,-0.0096,0.6810,1.0000
3.750,0.4727,0.01889,0.01009,-0.0028,0.5430,1.0000
4.000,0.4840,0.02055,0.01064,0.0024,0.3766,1.0000
4.250,0.5046,0.02271,0.01201,0.0047,0.2683,1.0000
4.500,0.5298,0.02475,0.01370,0.0061,0.2158,1.0000
4.750,0.5567,0.02684,0.01584,0.0073,0.1850,1.0000
5.000,0.5827,0.02901,0.01800,0.0084,0.1638,1.0000
5.250,0.6089,0.03158,0.02080,0.0094,0.1515,1.0000
5.500,0.6331,0.03420,0.02362,0.0105,0.1399,1.0000
5.750,0.6546,0.03750,0.02768,0.0116,0.1354,1.0000
6.000,0.6741,0.04095,0.03164,0.0126,0.1313,1.0000
6.250,0.6918,0.04454,0.03547,0.0135,0.1267,1.0000
6.500,0.7042,0.04886,0.04035,0.0140,0.1261,1.0000
6.750,0.7167,0.05347,0.04527,0.0144,0.1273,1.0000
7.000,0.7118,0.05976,0.05229,0.0125,0.1338,1.0000
7.250,0.7153,0.06517,0.05790,0.0115,0.1379,1.0000
7.500,0.7033,0.07230,0.06529,0.0070,0.1481,1.0000
7.750,0.6944,0.07959,0.07267,0.0018,0.1621,1.0000
