alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.7211,0.00857,0.00400,-0.0195,0.6258,0.1269
-4.750,-0.6863,0.00838,0.00377,-0.0178,0.6102,0.1351
-4.500,-0.6514,0.00821,0.00356,-0.0162,0.5945,0.1441
-4.250,-0.6162,0.00805,0.00336,-0.0147,0.5783,0.1529
-4.000,-0.5811,0.00788,0.00317,-0.0133,0.5645,0.1633
-3.750,-0.5457,0.00771,0.00300,-0.0120,0.5504,0.1741
-3.500,-0.5101,0.00758,0.00284,-0.0108,0.5361,0.1849
-3.250,-0.4741,0.00746,0.00271,-0.0097,0.5212,0.1953
-2.750,-0.4018,0.00724,0.00247,-0.0077,0.4940,0.2173
-2.500,-0.3658,0.00714,0.00236,-0.0068,0.4805,0.2297
-2.250,-0.3296,0.00706,0.00227,-0.0059,0.4664,0.2412
-2.000,-0.2931,0.00700,0.00219,-0.0052,0.4524,0.2528
-1.750,-0.2562,0.00693,0.00212,-0.0045,0.4403,0.2636
-1.500,-0.2199,0.00686,0.00205,-0.0037,0.4272,0.2766
-1.250,-0.1836,0.00682,0.00200,-0.0030,0.4135,0.2893
-1.000,-0.1469,0.00679,0.00197,-0.0024,0.4004,0.3010
-0.750,-0.1098,0.00676,0.00194,-0.0018,0.3886,0.3121
-0.500,-0.0734,0.00673,0.00191,-0.0012,0.3759,0.3257
-0.250,-0.0370,0.00672,0.00190,-0.0005,0.3621,0.3384
0.000,0.0000,0.00672,0.00189,-0.0000,0.3504,0.3503
0.250,0.0370,0.00672,0.00190,0.0005,0.3383,0.3621
0.500,0.0734,0.00673,0.00191,0.0012,0.3256,0.3759
0.750,0.1098,0.00676,0.00194,0.0018,0.3121,0.3885
1.000,0.1469,0.00679,0.00197,0.0024,0.3010,0.4004
1.250,0.1836,0.00682,0.00200,0.0030,0.2893,0.4134
1.500,0.2199,0.00686,0.00205,0.0037,0.2767,0.4273
1.750,0.2562,0.00693,0.00212,0.0045,0.2634,0.4403
2.000,0.2932,0.00700,0.00219,0.0051,0.2527,0.4522
2.250,0.3296,0.00706,0.00226,0.0059,0.2413,0.4664
2.500,0.3658,0.00714,0.00236,0.0068,0.2294,0.4806
2.750,0.4019,0.00725,0.00247,0.0077,0.2172,0.4938
3.000,0.4380,0.00736,0.00259,0.0087,0.2057,0.5066
3.250,0.4743,0.00746,0.00271,0.0097,0.1954,0.5212
3.500,0.5102,0.00757,0.00284,0.0108,0.1849,0.5361
3.750,0.5458,0.00772,0.00300,0.0120,0.1741,0.5505
4.000,0.5812,0.00788,0.00317,0.0133,0.1633,0.5645
4.500,0.6516,0.00821,0.00356,0.0162,0.1441,0.5943
4.750,0.6866,0.00838,0.00377,0.0178,0.1351,0.6102
5.000,0.7213,0.00857,0.00400,0.0194,0.1268,0.6260
5.250,0.7553,0.00879,0.00425,0.0213,0.1184,0.6415
5.500,0.7890,0.00902,0.00453,0.0233,0.1108,0.6573
5.750,0.8218,0.00927,0.00483,0.0255,0.1033,0.6730
6.000,0.8508,0.00949,0.00510,0.0285,0.0973,0.6900
6.250,0.8800,0.00974,0.00542,0.0315,0.0914,0.7075
6.500,0.9115,0.01006,0.00581,0.0341,0.0859,0.7256
6.750,0.9427,0.01042,0.00625,0.0367,0.0804,0.7435
7.000,0.9742,0.01079,0.00670,0.0393,0.0756,0.7621
7.250,1.0058,0.01119,0.00719,0.0420,0.0712,0.7807
7.500,1.0364,0.01164,0.00775,0.0448,0.0671,0.7995
7.750,1.0666,0.01215,0.00836,0.0476,0.0633,0.8188
