alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.8367,0.00930,0.00523,-0.0311,0.6924,0.0670
-4.750,-0.7949,0.00902,0.00485,-0.0281,0.6723,0.0744
-4.250,-0.7112,0.00852,0.00417,-0.0229,0.6329,0.0918
-4.000,-0.6693,0.00829,0.00386,-0.0206,0.6143,0.1020
-3.750,-0.6274,0.00807,0.00359,-0.0185,0.5957,0.1129
-3.250,-0.5441,0.00768,0.00310,-0.0147,0.5597,0.1388
-3.000,-0.5025,0.00750,0.00289,-0.0130,0.5419,0.1528
-2.750,-0.4610,0.00734,0.00270,-0.0114,0.5243,0.1676
-2.500,-0.4192,0.00720,0.00254,-0.0100,0.5071,0.1825
-2.250,-0.3774,0.00707,0.00239,-0.0087,0.4905,0.1981
-2.000,-0.3356,0.00696,0.00226,-0.0074,0.4732,0.2139
-1.750,-0.2937,0.00686,0.00215,-0.0063,0.4565,0.2298
-1.500,-0.2517,0.00678,0.00206,-0.0053,0.4402,0.2455
-1.250,-0.2097,0.00672,0.00199,-0.0043,0.4235,0.2612
-1.000,-0.1678,0.00666,0.00192,-0.0034,0.4070,0.2771
-0.500,-0.0839,0.00658,0.00184,-0.0017,0.3748,0.3097
-0.250,-0.0420,0.00657,0.00182,-0.0008,0.3583,0.3262
0.000,-0.0000,0.00656,0.00181,0.0000,0.3421,0.3421
0.250,0.0420,0.00657,0.00182,0.0008,0.3260,0.3584
0.500,0.0839,0.00658,0.00184,0.0017,0.3097,0.3748
1.000,0.1677,0.00666,0.00192,0.0034,0.2769,0.4072
1.250,0.2097,0.00672,0.00199,0.0043,0.2611,0.4236
1.500,0.2517,0.00678,0.00206,0.0053,0.2453,0.4398
1.750,0.2937,0.00686,0.00215,0.0063,0.2298,0.4564
2.000,0.3356,0.00696,0.00226,0.0075,0.2138,0.4735
2.250,0.3774,0.00707,0.00239,0.0087,0.1982,0.4903
2.500,0.4192,0.00720,0.00254,0.0100,0.1826,0.5071
2.750,0.4610,0.00734,0.00270,0.0114,0.1675,0.5244
3.000,0.5026,0.00750,0.00289,0.0130,0.1528,0.5419
3.250,0.5442,0.00768,0.00310,0.0147,0.1389,0.5597
3.750,0.6275,0.00807,0.00359,0.0185,0.1129,0.5958
4.000,0.6694,0.00829,0.00386,0.0206,0.1020,0.6143
4.250,0.7113,0.00852,0.00417,0.0229,0.0918,0.6329
4.750,0.7950,0.00902,0.00485,0.0281,0.0744,0.6721
5.000,0.8369,0.00930,0.00523,0.0310,0.0670,0.6923
5.500,0.8832,0.00299,-0.00080,0.0389,0.0564,0.7197
