alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6090,0.03230,0.02437,-0.0173,1.0000,0.1618
-4.750,-0.6409,0.03949,0.03063,-0.0150,1.0000,0.1643
-4.250,-0.6027,0.03282,0.02335,-0.0121,1.0000,0.1848
-4.000,-0.5791,0.02991,0.02003,-0.0105,1.0000,0.2033
-3.750,-0.5511,0.02730,0.01723,-0.0087,1.0000,0.2285
-3.500,-0.5232,0.02507,0.01510,-0.0064,1.0000,0.2705
-3.250,-0.4966,0.02302,0.01330,-0.0036,1.0000,0.3370
-3.000,-0.4744,0.02127,0.01210,0.0005,1.0000,0.4428
-2.750,-0.4569,0.02020,0.01166,0.0072,1.0000,0.5717
-2.500,-0.4365,0.01990,0.01170,0.0154,1.0000,0.6919
-2.250,-0.3953,0.02035,0.01212,0.0217,1.0000,0.8021
-2.000,-0.2585,0.02113,0.01209,0.0106,1.0000,0.9173
-1.750,-0.0913,0.01988,0.01009,-0.0146,1.0000,0.9973
-1.500,-0.0707,0.01907,0.00919,-0.0150,1.0000,1.0000
-1.250,-0.0565,0.01846,0.00853,-0.0136,1.0000,1.0000
-1.000,-0.0431,0.01798,0.00803,-0.0118,1.0000,1.0000
-0.750,-0.0308,0.01763,0.00766,-0.0094,1.0000,1.0000
-0.500,-0.0199,0.01738,0.00741,-0.0065,1.0000,1.0000
-0.250,-0.0099,0.01724,0.00727,-0.0033,1.0000,1.0000
0.000,-0.0000,0.01719,0.00722,0.0000,1.0000,1.0000
0.250,0.0099,0.01724,0.00727,0.0033,1.0000,1.0000
0.500,0.0199,0.01738,0.00741,0.0065,1.0000,1.0000
0.750,0.0308,0.01763,0.00766,0.0094,1.0000,1.0000
1.000,0.0431,0.01798,0.00803,0.0118,1.0000,1.0000
1.250,0.0566,0.01845,0.00853,0.0136,1.0000,1.0000
1.500,0.0708,0.01907,0.00919,0.0150,1.0000,1.0000
1.750,0.0913,0.01988,0.01009,0.0146,0.9973,1.0000
2.000,0.2585,0.02113,0.01208,-0.0106,0.9174,1.0000
2.250,0.3953,0.02035,0.01211,-0.0217,0.8021,1.0000
2.500,0.4366,0.01990,0.01170,-0.0154,0.6919,1.0000
2.750,0.4569,0.02020,0.01166,-0.0072,0.5716,1.0000
3.000,0.4745,0.02127,0.01210,-0.0005,0.4427,1.0000
3.250,0.4966,0.02302,0.01330,0.0036,0.3369,1.0000
3.500,0.5232,0.02507,0.01510,0.0064,0.2704,1.0000
3.750,0.5511,0.02730,0.01723,0.0087,0.2285,1.0000
4.000,0.5792,0.02991,0.02003,0.0105,0.2033,1.0000
4.250,0.6027,0.03282,0.02335,0.0121,0.1848,1.0000
4.500,0.6237,0.03613,0.02701,0.0135,0.1746,1.0000
5.000,0.6089,0.03225,0.02433,0.0174,0.1618,1.0000
5.250,0.6549,0.04763,0.03955,0.0156,0.1559,1.0000
