alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.3903,0.06854,0.06012,-0.0104,1.0000,0.3909
-4.750,-0.4061,0.06614,0.05781,-0.0072,1.0000,0.4011
-4.500,-0.4099,0.06440,0.05615,-0.0034,1.0000,0.4132
-4.250,-0.4453,0.06178,0.05363,0.0008,1.0000,0.4214
-4.000,-0.4602,0.06008,0.05200,0.0054,1.0000,0.4331
-3.750,-0.4726,0.05861,0.05059,0.0102,1.0000,0.4451
-3.500,-0.5311,0.05584,0.04789,0.0167,1.0000,0.4520
-3.250,-0.5369,0.05462,0.04672,0.0215,1.0000,0.4659
-3.000,-0.5482,0.05323,0.04536,0.0264,1.0000,0.4799
-2.750,-0.5620,0.05170,0.04386,0.0313,1.0000,0.4941
-2.500,-0.5750,0.05020,0.04236,0.0361,1.0000,0.5096
-2.250,-0.5848,0.04877,0.04093,0.0407,1.0000,0.5262
-2.000,-0.5758,0.04688,0.03895,0.0413,0.9917,0.5503
-1.750,-0.5128,0.04599,0.03795,0.0359,0.9714,0.5841
-1.500,-0.4474,0.04560,0.03749,0.0314,0.9492,0.6166
-1.250,-0.3787,0.04547,0.03730,0.0269,0.9262,0.6486
-1.000,-0.3038,0.04542,0.03720,0.0216,0.9026,0.6807
-0.750,-0.2345,0.04549,0.03723,0.0173,0.8777,0.7103
-0.500,-0.1474,0.04548,0.03718,0.0102,0.8525,0.7421
-0.250,-0.1027,0.04533,0.03702,0.0090,0.8276,0.7694
0.000,-0.0000,0.04527,0.03693,0.0000,0.8006,0.8006
0.250,0.1030,0.04533,0.03702,-0.0090,0.7693,0.8277
0.500,0.1475,0.04547,0.03718,-0.0103,0.7420,0.8525
0.750,0.2346,0.04548,0.03723,-0.0173,0.7103,0.8777
1.000,0.3038,0.04541,0.03719,-0.0216,0.6807,0.9026
1.250,0.3787,0.04546,0.03729,-0.0269,0.6486,0.9263
1.500,0.4474,0.04559,0.03748,-0.0314,0.6166,0.9492
1.750,0.5130,0.04598,0.03795,-0.0359,0.5841,0.9715
2.000,0.5759,0.04687,0.03894,-0.0413,0.5503,0.9918
2.250,0.5848,0.04876,0.04092,-0.0407,0.5263,1.0000
2.500,0.5750,0.05019,0.04235,-0.0361,0.5097,1.0000
2.750,0.5621,0.05169,0.04384,-0.0313,0.4941,1.0000
3.000,0.5483,0.05322,0.04535,-0.0264,0.4799,1.0000
3.250,0.5370,0.05460,0.04670,-0.0215,0.4659,1.0000
3.500,0.5312,0.05582,0.04787,-0.0167,0.4520,1.0000
3.750,0.4726,0.05859,0.05057,-0.0102,0.4451,1.0000
4.000,0.4602,0.06006,0.05198,-0.0054,0.4331,1.0000
4.250,0.4449,0.06177,0.05362,-0.0008,0.4215,1.0000
4.500,0.4100,0.06438,0.05613,0.0034,0.4132,1.0000
4.750,0.4062,0.06612,0.05779,0.0072,0.4011,1.0000
5.000,0.3904,0.06852,0.06009,0.0104,0.3909,1.0000
5.250,0.3228,0.06726,0.05947,0.0106,0.3833,1.0000
5.750,0.3022,0.07226,0.06431,0.0158,0.3663,1.0000
6.000,0.3636,0.07921,0.07045,0.0188,0.3512,1.0000
6.250,0.3711,0.08190,0.07310,0.0203,0.3409,1.0000
6.500,0.3028,0.07995,0.07179,0.0217,0.3395,1.0000
6.750,0.3744,0.08826,0.07933,0.0218,0.3234,1.0000
