alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5639,0.00634,0.00207,-0.0022,0.9917,0.0153
-4.750,-0.5321,0.00620,0.00194,-0.0028,0.9871,0.0165
-4.500,-0.5024,0.00602,0.00178,-0.0030,0.9801,0.0206
-4.250,-0.4742,0.00589,0.00165,-0.0027,0.9701,0.0238
-4.000,-0.4472,0.00576,0.00153,-0.0022,0.9566,0.0280
-3.750,-0.4202,0.00563,0.00140,-0.0017,0.9406,0.0353
-3.500,-0.3930,0.00553,0.00128,-0.0013,0.9223,0.0438
-3.250,-0.3654,0.00543,0.00117,-0.0010,0.9010,0.0545
-3.000,-0.3376,0.00534,0.00107,-0.0007,0.8769,0.0694
-2.750,-0.3098,0.00524,0.00096,-0.0005,0.8501,0.0886
-2.500,-0.2819,0.00513,0.00087,-0.0004,0.8207,0.1143
-2.250,-0.2538,0.00504,0.00078,-0.0002,0.7911,0.1410
-2.000,-0.2258,0.00494,0.00070,-0.0002,0.7588,0.1755
-1.750,-0.1976,0.00484,0.00063,-0.0001,0.7267,0.2106
-1.500,-0.1695,0.00477,0.00058,-0.0000,0.6916,0.2485
-1.250,-0.1412,0.00471,0.00053,-0.0000,0.6583,0.2822
-1.000,-0.1131,0.00463,0.00049,0.0000,0.6238,0.3264
-0.750,-0.0848,0.00459,0.00046,0.0000,0.5879,0.3643
-0.500,-0.0565,0.00455,0.00044,0.0000,0.5517,0.4028
-0.250,-0.0282,0.00453,0.00042,-0.0000,0.5161,0.4406
0.000,0.0001,0.00452,0.00042,-0.0000,0.4790,0.4791
0.250,0.0284,0.00454,0.00042,-0.0000,0.4402,0.5147
0.500,0.0566,0.00455,0.00044,-0.0000,0.4017,0.5520
0.750,0.0850,0.00459,0.00046,-0.0000,0.3641,0.5875
1.000,0.1131,0.00464,0.00049,-0.0000,0.3226,0.6246
1.250,0.1414,0.00468,0.00053,-0.0000,0.2885,0.6593
1.500,0.1696,0.00477,0.00058,0.0000,0.2472,0.6913
1.750,0.1978,0.00484,0.00063,0.0001,0.2128,0.7263
2.000,0.2259,0.00493,0.00070,0.0001,0.1751,0.7602
2.250,0.2539,0.00505,0.00078,0.0002,0.1395,0.7920
2.500,0.2820,0.00513,0.00087,0.0003,0.1142,0.8221
2.750,0.3099,0.00524,0.00097,0.0005,0.0886,0.8506
3.000,0.3378,0.00534,0.00107,0.0007,0.0678,0.8769
3.250,0.3656,0.00543,0.00117,0.0010,0.0542,0.9010
3.500,0.3932,0.00553,0.00128,0.0013,0.0436,0.9222
3.750,0.4204,0.00564,0.00140,0.0017,0.0349,0.9409
4.000,0.4474,0.00576,0.00153,0.0022,0.0280,0.9567
4.250,0.4744,0.00589,0.00165,0.0027,0.0239,0.9699
4.500,0.5025,0.00602,0.00178,0.0029,0.0206,0.9799
4.750,0.5320,0.00620,0.00194,0.0028,0.0165,0.9870
5.250,0.5945,0.00654,0.00226,0.0019,0.0127,0.9953
5.500,0.6279,0.00671,0.00241,0.0009,0.0120,0.9966
5.750,0.6608,0.00691,0.00260,0.0000,0.0107,0.9978
6.000,0.6933,0.00715,0.00284,-0.0007,0.0093,0.9990
6.250,0.7259,0.00732,0.00302,-0.0015,0.0089,0.9998
6.500,0.7534,0.00752,0.00322,-0.0011,0.0083,1.0000
6.750,0.7796,0.00775,0.00345,-0.0004,0.0076,1.0000
7.000,0.8056,0.00806,0.00379,0.0003,0.0068,1.0000
7.250,0.8326,0.00827,0.00400,0.0009,0.0067,1.0000
7.500,0.8598,0.00850,0.00424,0.0013,0.0064,1.0000
7.750,0.8872,0.00874,0.00450,0.0018,0.0061,1.0000
8.000,0.9145,0.00903,0.00480,0.0022,0.0058,1.0000
8.250,0.9418,0.00936,0.00515,0.0027,0.0054,1.0000
8.500,0.9684,0.00985,0.00571,0.0033,0.0049,1.0000
8.750,0.9954,0.01025,0.00615,0.0038,0.0047,1.0000
9.000,1.0230,0.01055,0.00648,0.0043,0.0046,1.0000
9.250,1.0504,0.01089,0.00687,0.0047,0.0045,1.0000
