alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5654,0.02727,0.01609,-0.0071,1.0000,0.1743
-4.750,-0.5391,0.02519,0.01402,-0.0060,1.0000,0.2001
-4.500,-0.5142,0.02322,0.01229,-0.0048,1.0000,0.2443
-4.250,-0.4922,0.02106,0.01077,-0.0031,1.0000,0.3334
-4.000,-0.4798,0.01903,0.00996,0.0012,1.0000,0.5020
-3.750,-0.4691,0.01825,0.00994,0.0076,1.0000,0.6533
-3.500,-0.4528,0.01829,0.01026,0.0143,1.0000,0.7621
-3.250,-0.4171,0.01900,0.01077,0.0184,1.0000,0.8549
-3.000,-0.2955,0.02003,0.01089,0.0058,1.0000,0.9459
-2.750,-0.1776,0.01904,0.00920,-0.0126,1.0000,1.0000
-2.500,-0.1629,0.01822,0.00822,-0.0127,1.0000,1.0000
-2.250,-0.1473,0.01756,0.00745,-0.0124,1.0000,1.0000
-2.000,-0.1311,0.01704,0.00682,-0.0118,1.0000,1.0000
-1.750,-0.1145,0.01663,0.00631,-0.0109,1.0000,1.0000
-1.500,-0.0977,0.01631,0.00589,-0.0098,1.0000,1.0000
-1.250,-0.0808,0.01605,0.00557,-0.0085,1.0000,1.0000
-1.000,-0.0641,0.01585,0.00531,-0.0071,1.0000,1.0000
-0.750,-0.0477,0.01571,0.00513,-0.0055,1.0000,1.0000
-0.500,-0.0315,0.01561,0.00500,-0.0037,1.0000,1.0000
-0.250,-0.0156,0.01555,0.00492,-0.0019,1.0000,1.0000
0.000,0.0000,0.01553,0.00489,0.0000,1.0000,1.0000
0.250,0.0156,0.01555,0.00492,0.0019,1.0000,1.0000
0.500,0.0315,0.01561,0.00500,0.0037,1.0000,1.0000
0.750,0.0477,0.01571,0.00513,0.0055,1.0000,1.0000
1.000,0.0641,0.01585,0.00531,0.0071,1.0000,1.0000
1.250,0.0808,0.01605,0.00557,0.0085,1.0000,1.0000
1.500,0.0977,0.01630,0.00589,0.0098,1.0000,1.0000
1.750,0.1145,0.01663,0.00631,0.0109,1.0000,1.0000
2.000,0.1311,0.01704,0.00682,0.0118,1.0000,1.0000
2.250,0.1473,0.01756,0.00745,0.0124,1.0000,1.0000
2.500,0.1629,0.01821,0.00822,0.0126,1.0000,1.0000
2.750,0.1777,0.01903,0.00919,0.0126,1.0000,1.0000
3.000,0.2955,0.02003,0.01088,-0.0058,0.9459,1.0000
3.250,0.4171,0.01900,0.01077,-0.0184,0.8549,1.0000
3.500,0.4528,0.01829,0.01026,-0.0143,0.7621,1.0000
3.750,0.4691,0.01825,0.00994,-0.0076,0.6533,1.0000
4.000,0.4798,0.01903,0.00996,-0.0012,0.5019,1.0000
4.250,0.4922,0.02106,0.01077,0.0031,0.3333,1.0000
4.500,0.5142,0.02322,0.01229,0.0048,0.2443,1.0000
4.750,0.5391,0.02519,0.01402,0.0060,0.2001,1.0000
5.000,0.5654,0.02727,0.01609,0.0071,0.1743,1.0000
5.250,0.5914,0.02947,0.01846,0.0081,0.1568,1.0000
5.500,0.6163,0.03189,0.02114,0.0091,0.1443,1.0000
5.750,0.6400,0.03471,0.02433,0.0101,0.1362,1.0000
6.000,0.6621,0.03783,0.02793,0.0111,0.1313,1.0000
6.250,0.6819,0.04114,0.03154,0.0120,0.1261,1.0000
6.500,0.6979,0.04516,0.03619,0.0129,0.1250,1.0000
6.750,0.7127,0.04961,0.04107,0.0134,0.1263,1.0000
7.000,0.7263,0.05425,0.04601,0.0138,0.1274,1.0000
7.250,0.7221,0.06103,0.05361,0.0120,0.1363,1.0000
7.500,0.7310,0.06613,0.05884,0.0116,0.1392,1.0000
7.750,0.7142,0.07560,0.06873,0.0050,0.1631,1.0000
8.250,0.6360,0.10106,0.09408,-0.0321,0.3452,1.0000
8.500,0.6360,0.10466,0.09764,-0.0324,0.3335,1.0000
8.750,0.6360,0.10832,0.10125,-0.0327,0.3228,1.0000
9.000,0.6394,0.11221,0.10511,-0.0330,0.3128,1.0000
9.250,0.5197,0.10914,0.10232,-0.0202,0.3114,1.0000
9.500,0.6519,0.12023,0.11311,-0.0329,0.2899,1.0000
9.750,0.6571,0.12407,0.11694,-0.0329,0.2775,1.0000
10.000,0.6655,0.12826,0.12112,-0.0327,0.2655,1.0000
10.250,0.6683,0.13172,0.12457,-0.0331,0.2545,1.0000
10.500,0.5342,0.12819,0.12129,-0.0203,0.2646,1.0000
