alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6857,0.00886,0.00423,-0.0269,0.5768,0.1543
-4.500,-0.6301,0.00853,0.00384,-0.0212,0.5522,0.1694
-4.000,-0.5637,0.00823,0.00349,-0.0176,0.5267,0.1853
-3.750,-0.5307,0.00808,0.00332,-0.0159,0.5140,0.1946
-3.500,-0.4970,0.00795,0.00317,-0.0143,0.5007,0.2038
-3.250,-0.4618,0.00784,0.00304,-0.0130,0.4897,0.2122
-3.000,-0.4276,0.00773,0.00292,-0.0116,0.4774,0.2218
-2.750,-0.3930,0.00763,0.00281,-0.0103,0.4653,0.2317
-2.500,-0.3571,0.00755,0.00271,-0.0093,0.4543,0.2404
-2.250,-0.3225,0.00746,0.00262,-0.0081,0.4414,0.2508
-2.000,-0.2869,0.00739,0.00254,-0.0071,0.4310,0.2610
-1.750,-0.2507,0.00734,0.00248,-0.0062,0.4197,0.2693
-1.500,-0.2159,0.00728,0.00242,-0.0051,0.4069,0.2809
-1.250,-0.1796,0.00723,0.00237,-0.0042,0.3975,0.2910
-1.000,-0.1437,0.00721,0.00233,-0.0034,0.3858,0.3003
-0.750,-0.1082,0.00717,0.00230,-0.0024,0.3750,0.3118
-0.500,-0.0716,0.00716,0.00228,-0.0017,0.3647,0.3213
-0.250,-0.0363,0.00715,0.00227,-0.0008,0.3522,0.3323
0.000,-0.0000,0.00713,0.00226,0.0000,0.3433,0.3434
0.250,0.0363,0.00715,0.00227,0.0008,0.3322,0.3521
0.500,0.0716,0.00716,0.00228,0.0017,0.3213,0.3648
0.750,0.1083,0.00717,0.00230,0.0024,0.3118,0.3750
1.000,0.1438,0.00721,0.00233,0.0034,0.3004,0.3858
1.250,0.1796,0.00723,0.00237,0.0042,0.2911,0.3977
