alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5654,0.05203,0.04370,-0.0032,1.0000,0.3936
-4.750,-0.6076,0.04886,0.04057,0.0024,1.0000,0.4016
-4.500,-0.6123,0.04725,0.03899,0.0072,1.0000,0.4156
-4.250,-0.6207,0.04558,0.03734,0.0122,1.0000,0.4299
-4.000,-0.6292,0.04393,0.03569,0.0172,1.0000,0.4449
-3.750,-0.6346,0.04242,0.03418,0.0220,1.0000,0.4614
-3.500,-0.6374,0.04105,0.03279,0.0266,1.0000,0.4792
-3.250,-0.6397,0.03969,0.03141,0.0311,1.0000,0.4983
-3.000,-0.6412,0.03835,0.03003,0.0354,1.0000,0.5184
-2.750,-0.6220,0.03814,0.02986,0.0390,1.0000,0.5408
-2.500,-0.6144,0.03734,0.02905,0.0428,1.0000,0.5635
-2.250,-0.6048,0.03668,0.02838,0.0463,1.0000,0.5868
-2.000,-0.5884,0.03647,0.02821,0.0496,1.0000,0.6109
-1.750,-0.5786,0.03592,0.02764,0.0528,1.0000,0.6360
-1.500,-0.5597,0.03596,0.02771,0.0557,1.0000,0.6610
-1.250,-0.5014,0.03649,0.02821,0.0520,0.9868,0.6960
-1.000,-0.4286,0.03715,0.02881,0.0459,0.9658,0.7336
-0.750,-0.3414,0.03817,0.02978,0.0381,0.9438,0.7692
-0.500,-0.2505,0.03906,0.03063,0.0294,0.9197,0.8026
-0.250,-0.1519,0.03978,0.03129,0.0191,0.8944,0.8346
0.000,-0.0000,0.04029,0.03178,0.0000,0.8658,0.8658
0.250,0.1518,0.03978,0.03129,-0.0190,0.8346,0.8944
0.500,0.2505,0.03906,0.03062,-0.0294,0.8025,0.9197
0.750,0.3414,0.03817,0.02978,-0.0381,0.7692,0.9438
1.000,0.4286,0.03715,0.02880,-0.0459,0.7336,0.9658
1.250,0.5015,0.03649,0.02821,-0.0521,0.6960,0.9868
1.500,0.5596,0.03596,0.02771,-0.0557,0.6610,1.0000
1.750,0.5785,0.03592,0.02764,-0.0528,0.6361,1.0000
2.000,0.5883,0.03647,0.02820,-0.0496,0.6110,1.0000
2.250,0.6047,0.03667,0.02838,-0.0463,0.5869,1.0000
2.500,0.6143,0.03734,0.02904,-0.0428,0.5636,1.0000
2.750,0.6219,0.03813,0.02986,-0.0390,0.5408,1.0000
3.000,0.6411,0.03835,0.03003,-0.0354,0.5185,1.0000
3.250,0.6397,0.03968,0.03139,-0.0311,0.4983,1.0000
3.500,0.6374,0.04104,0.03278,-0.0266,0.4792,1.0000
3.750,0.6346,0.04242,0.03417,-0.0220,0.4614,1.0000
4.000,0.6292,0.04392,0.03568,-0.0172,0.4450,1.0000
4.250,0.6207,0.04557,0.03733,-0.0122,0.4299,1.0000
4.500,0.6124,0.04724,0.03898,-0.0072,0.4156,1.0000
4.750,0.6077,0.04885,0.04056,-0.0024,0.4016,1.0000
5.000,0.6069,0.05038,0.04204,0.0021,0.3873,1.0000
5.250,0.5467,0.05434,0.04594,0.0080,0.3831,1.0000
5.500,0.5468,0.05608,0.04762,0.0120,0.3702,1.0000
5.750,0.4916,0.06088,0.05231,0.0148,0.3654,1.0000
6.000,0.4926,0.06330,0.05468,0.0172,0.3532,1.0000
6.250,0.4663,0.06778,0.05909,0.0176,0.3451,1.0000
6.500,0.4612,0.07113,0.06238,0.0186,0.3350,1.0000
6.750,0.4745,0.07348,0.06470,0.0203,0.3233,1.0000
7.000,0.4476,0.07861,0.06977,0.0189,0.3177,1.0000
7.500,0.3431,0.08219,0.07381,0.0218,0.3163,1.0000
