alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.7531,0.03549,0.02628,0.0343,1.0000,0.5043
-4.750,-0.7352,0.03534,0.02622,0.0366,1.0000,0.5204
-4.500,-0.7192,0.03511,0.02605,0.0389,1.0000,0.5367
-4.250,-0.7043,0.03485,0.02583,0.0413,1.0000,0.5535
-4.000,-0.6898,0.03458,0.02560,0.0437,1.0000,0.5705
-3.750,-0.6756,0.03435,0.02539,0.0460,1.0000,0.5880
-3.500,-0.6614,0.03416,0.02523,0.0483,1.0000,0.6057
-3.250,-0.6473,0.03401,0.02511,0.0505,1.0000,0.6237
-3.000,-0.6332,0.03391,0.02505,0.0528,1.0000,0.6420
-2.750,-0.6191,0.03387,0.02505,0.0550,1.0000,0.6605
-2.500,-0.6048,0.03390,0.02512,0.0571,1.0000,0.6793
-2.250,-0.5905,0.03399,0.02523,0.0592,1.0000,0.6984
-2.000,-0.5760,0.03414,0.02543,0.0613,1.0000,0.7180
-1.750,-0.5612,0.03436,0.02567,0.0632,1.0000,0.7380
-1.500,-0.5175,0.03517,0.02647,0.0600,0.9899,0.7628
-1.250,-0.4536,0.03659,0.02787,0.0541,0.9735,0.7865
-1.000,-0.3778,0.03823,0.02949,0.0463,0.9572,0.8085
-0.750,-0.2948,0.03971,0.03093,0.0371,0.9404,0.8294
-0.500,-0.2081,0.04088,0.03207,0.0270,0.9226,0.8491
-0.250,-0.1052,0.04178,0.03293,0.0138,0.9044,0.8676
0.000,-0.0000,0.04208,0.03322,0.0000,0.8859,0.8859
0.250,0.1051,0.04177,0.03293,-0.0138,0.8676,0.9044
0.500,0.2081,0.04088,0.03206,-0.0269,0.8491,0.9226
0.750,0.2948,0.03970,0.03092,-0.0371,0.8294,0.9404
1.000,0.3779,0.03823,0.02949,-0.0463,0.8085,0.9572
1.250,0.4537,0.03658,0.02787,-0.0541,0.7865,0.9736
1.500,0.5175,0.03516,0.02646,-0.0600,0.7629,0.9899
1.750,0.5611,0.03435,0.02567,-0.0632,0.7380,1.0000
2.000,0.5758,0.03414,0.02542,-0.0612,0.7180,1.0000
2.250,0.5903,0.03398,0.02522,-0.0592,0.6985,1.0000
2.500,0.6047,0.03390,0.02511,-0.0571,0.6794,1.0000
2.750,0.6189,0.03387,0.02504,-0.0549,0.6605,1.0000
3.000,0.6330,0.03391,0.02505,-0.0528,0.6420,1.0000
3.250,0.6472,0.03400,0.02510,-0.0505,0.6237,1.0000
3.500,0.6613,0.03415,0.02522,-0.0483,0.6057,1.0000
3.750,0.6755,0.03434,0.02539,-0.0460,0.5880,1.0000
4.000,0.6897,0.03458,0.02559,-0.0436,0.5706,1.0000
4.250,0.7041,0.03484,0.02582,-0.0413,0.5535,1.0000
4.500,0.7191,0.03510,0.02604,-0.0389,0.5367,1.0000
4.750,0.7351,0.03533,0.02621,-0.0365,0.5204,1.0000
5.000,0.7530,0.03548,0.02627,-0.0343,0.5044,1.0000
5.250,0.7641,0.03609,0.02688,-0.0315,0.4879,1.0000
5.500,0.7721,0.03693,0.02776,-0.0285,0.4719,1.0000
5.750,0.7797,0.03781,0.02866,-0.0254,0.4566,1.0000
6.000,0.7882,0.03868,0.02954,-0.0224,0.4420,1.0000
6.250,0.8013,0.03929,0.03011,-0.0196,0.4276,1.0000
6.500,0.8209,0.03961,0.03032,-0.0174,0.4133,1.0000
6.750,0.8278,0.04060,0.03135,-0.0141,0.3995,1.0000
7.000,0.8205,0.04242,0.03330,-0.0097,0.3876,1.0000
7.250,0.8316,0.04332,0.03416,-0.0068,0.3752,1.0000
7.500,0.8573,0.04352,0.03421,-0.0052,0.3617,1.0000
7.750,0.8270,0.04656,0.03750,0.0012,0.3533,1.0000
8.000,0.8418,0.04742,0.03831,0.0037,0.3419,1.0000
8.250,0.8662,0.04782,0.03862,0.0053,0.3294,1.0000
8.500,0.8223,0.05180,0.04280,0.0122,0.3247,1.0000
8.750,0.8413,0.05252,0.04347,0.0142,0.3135,1.0000
9.000,0.7994,0.05676,0.04781,0.0200,0.3096,1.0000
9.500,0.7813,0.06187,0.05292,0.0265,0.2955,1.0000
9.750,0.5328,0.09266,0.08360,0.0174,0.3103,1.0000
