alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6131,0.00670,0.00259,-0.0052,0.9903,0.0117
-4.750,-0.5774,0.00650,0.00237,-0.0056,0.9857,0.0130
-4.500,-0.5454,0.00630,0.00217,-0.0052,0.9772,0.0156
-4.250,-0.5147,0.00615,0.00199,-0.0046,0.9659,0.0178
-4.000,-0.4851,0.00599,0.00183,-0.0038,0.9515,0.0213
-3.750,-0.4554,0.00586,0.00167,-0.0031,0.9349,0.0266
-3.500,-0.4252,0.00574,0.00152,-0.0025,0.9152,0.0330
-3.250,-0.3950,0.00563,0.00138,-0.0020,0.8933,0.0416
-3.000,-0.3648,0.00552,0.00125,-0.0016,0.8677,0.0544
-2.750,-0.3343,0.00543,0.00113,-0.0013,0.8403,0.0695
-2.500,-0.3040,0.00532,0.00101,-0.0010,0.8095,0.0930
-2.250,-0.2736,0.00521,0.00091,-0.0008,0.7792,0.1196
-2.000,-0.2432,0.00510,0.00081,-0.0006,0.7463,0.1532
-1.750,-0.2129,0.00499,0.00072,-0.0005,0.7132,0.1889
-1.500,-0.1825,0.00490,0.00065,-0.0003,0.6779,0.2274
-1.250,-0.1520,0.00483,0.00060,-0.0003,0.6446,0.2642
-1.000,-0.1217,0.00474,0.00055,-0.0002,0.6097,0.3078
-0.750,-0.0913,0.00469,0.00051,-0.0001,0.5740,0.3472
-0.500,-0.0609,0.00465,0.00049,-0.0001,0.5373,0.3866
-0.250,-0.0304,0.00463,0.00047,-0.0000,0.5012,0.4254
0.000,0.0001,0.00461,0.00047,-0.0000,0.4640,0.4641
0.250,0.0305,0.00463,0.00047,0.0000,0.4245,0.5001
0.500,0.0610,0.00466,0.00049,0.0001,0.3856,0.5372
0.750,0.0914,0.00469,0.00051,0.0001,0.3470,0.5733
1.000,0.1218,0.00475,0.00055,0.0002,0.3046,0.6106
1.250,0.1523,0.00481,0.00059,0.0002,0.2685,0.6450
1.500,0.1827,0.00491,0.00065,0.0003,0.2266,0.6777
1.750,0.2130,0.00499,0.00072,0.0004,0.1910,0.7126
2.250,0.2737,0.00522,0.00091,0.0008,0.1188,0.7798
2.500,0.3041,0.00532,0.00101,0.0010,0.0933,0.8110
2.750,0.3344,0.00543,0.00113,0.0013,0.0692,0.8408
3.000,0.3649,0.00553,0.00125,0.0016,0.0536,0.8678
3.250,0.3952,0.00564,0.00138,0.0020,0.0413,0.8931
3.500,0.4254,0.00574,0.00152,0.0025,0.0328,0.9151
3.750,0.4555,0.00586,0.00167,0.0031,0.0262,0.9352
4.000,0.4853,0.00599,0.00183,0.0038,0.0213,0.9516
4.250,0.5149,0.00615,0.00199,0.0046,0.0179,0.9658
4.500,0.5455,0.00630,0.00217,0.0052,0.0157,0.9769
4.750,0.5773,0.00651,0.00238,0.0056,0.0129,0.9856
5.000,0.6130,0.00670,0.00259,0.0052,0.0118,0.9902
5.250,0.6472,0.00693,0.00283,0.0052,0.0103,0.9947
5.500,0.6841,0.00722,0.00314,0.0046,0.0092,0.9963
