alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6695,0.03942,0.03070,-0.0146,1.0000,0.2163
-4.750,-0.6600,0.03640,0.02746,-0.0122,1.0000,0.2295
-4.500,-0.6475,0.03360,0.02440,-0.0096,1.0000,0.2466
-4.250,-0.6291,0.03127,0.02200,-0.0068,1.0000,0.2704
-4.000,-0.6102,0.02912,0.01972,-0.0039,1.0000,0.3013
-3.750,-0.5892,0.02735,0.01801,-0.0005,1.0000,0.3421
-3.500,-0.5676,0.02592,0.01678,0.0033,1.0000,0.3939
-3.250,-0.5465,0.02477,0.01584,0.0076,1.0000,0.4553
-3.000,-0.5252,0.02395,0.01524,0.0125,1.0000,0.5223
-2.750,-0.5021,0.02347,0.01493,0.0178,1.0000,0.5894
-2.500,-0.4759,0.02330,0.01490,0.0233,1.0000,0.6537
-2.250,-0.4485,0.02322,0.01486,0.0283,1.0000,0.7155
-2.000,-0.4067,0.02350,0.01509,0.0316,1.0000,0.7753
-1.750,-0.3452,0.02386,0.01527,0.0309,1.0000,0.8359
-1.500,-0.2441,0.02413,0.01520,0.0219,1.0000,0.8962
-1.250,-0.1130,0.02366,0.01438,0.0047,1.0000,0.9503
-1.000,0.0107,0.02245,0.01299,-0.0136,1.0000,0.9952
-0.750,0.0261,0.02185,0.01242,-0.0134,1.0000,1.0000
-0.500,0.0218,0.02151,0.01214,-0.0097,1.0000,1.0000
-0.250,0.0125,0.02132,0.01199,-0.0051,1.0000,1.0000
0.000,0.0000,0.02126,0.01195,-0.0000,1.0000,1.0000
0.250,-0.0125,0.02132,0.01199,0.0051,1.0000,1.0000
0.500,-0.0217,0.02151,0.01214,0.0097,1.0000,1.0000
0.750,-0.0261,0.02184,0.01242,0.0134,1.0000,1.0000
1.000,-0.0107,0.02244,0.01299,0.0136,0.9952,1.0000
1.250,0.1130,0.02365,0.01438,-0.0047,0.9503,1.0000
1.500,0.2441,0.02413,0.01520,-0.0219,0.8962,1.0000
1.750,0.3452,0.02386,0.01526,-0.0309,0.8359,1.0000
2.000,0.4067,0.02350,0.01509,-0.0316,0.7753,1.0000
2.250,0.4484,0.02322,0.01486,-0.0282,0.7155,1.0000
2.500,0.4759,0.02330,0.01490,-0.0232,0.6538,1.0000
2.750,0.5021,0.02347,0.01493,-0.0178,0.5895,1.0000
3.000,0.5251,0.02395,0.01524,-0.0125,0.5223,1.0000
3.250,0.5465,0.02477,0.01584,-0.0076,0.4553,1.0000
3.500,0.5675,0.02592,0.01678,-0.0033,0.3939,1.0000
3.750,0.5892,0.02734,0.01800,0.0005,0.3422,1.0000
4.000,0.6102,0.02912,0.01972,0.0039,0.3013,1.0000
4.250,0.6291,0.03127,0.02199,0.0068,0.2704,1.0000
4.500,0.6474,0.03360,0.02439,0.0097,0.2465,1.0000
4.750,0.6600,0.03640,0.02746,0.0122,0.2295,1.0000
5.000,0.6695,0.03942,0.03070,0.0146,0.2163,1.0000
5.250,0.6768,0.04266,0.03412,0.0167,0.2065,1.0000
5.750,0.6724,0.05007,0.04192,0.0196,0.1934,1.0000
6.250,0.6433,0.05909,0.05119,0.0190,0.1893,1.0000
