alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-4.750,-0.6506,0.02161,0.01987,-0.0153,1.0000,0.0040
-4.500,-0.6326,0.01708,0.01498,-0.0134,1.0000,0.0043
-4.250,-0.6125,0.01302,0.01051,-0.0106,1.0000,0.0049
-4.000,-0.5793,0.00938,0.00638,-0.0094,0.9977,0.0055
-3.500,-0.4973,0.00642,0.00281,-0.0079,0.9886,0.0067
-3.250,-0.4552,0.00595,0.00219,-0.0075,0.9798,0.0079
-3.000,-0.4177,0.00566,0.00180,-0.0064,0.9637,0.0097
-2.750,-0.3830,0.00549,0.00156,-0.0050,0.9419,0.0126
-2.500,-0.3483,0.00538,0.00135,-0.0038,0.9145,0.0181
-2.250,-0.3132,0.00529,0.00118,-0.0028,0.8827,0.0268
-2.000,-0.2780,0.00520,0.00103,-0.0021,0.8459,0.0422
-1.750,-0.2430,0.00509,0.00088,-0.0015,0.8056,0.0724
-1.500,-0.2081,0.00494,0.00074,-0.0011,0.7624,0.1200
-1.250,-0.1733,0.00482,0.00064,-0.0008,0.7172,0.1714
-1.000,-0.1386,0.00468,0.00055,-0.0006,0.6708,0.2331
-0.750,-0.1039,0.00458,0.00048,-0.0004,0.6237,0.2938
-0.500,-0.0693,0.00451,0.00044,-0.0002,0.5731,0.3528
-0.250,-0.0346,0.00446,0.00041,-0.0001,0.5228,0.4131
0.000,-0.0000,0.00445,0.00040,-0.0000,0.4683,0.4684
0.250,0.0346,0.00446,0.00041,0.0001,0.4112,0.5230
0.500,0.0693,0.00450,0.00044,0.0002,0.3551,0.5736
0.750,0.1039,0.00458,0.00048,0.0004,0.2939,0.6231
1.000,0.1386,0.00468,0.00054,0.0005,0.2336,0.6711
1.250,0.1732,0.00483,0.00064,0.0008,0.1684,0.7177
1.500,0.2081,0.00494,0.00074,0.0011,0.1193,0.7629
1.750,0.2429,0.00509,0.00088,0.0015,0.0725,0.8052
2.000,0.2780,0.00520,0.00102,0.0021,0.0434,0.8458
2.250,0.3132,0.00529,0.00118,0.0028,0.0266,0.8824
2.500,0.3482,0.00538,0.00135,0.0038,0.0180,0.9145
2.750,0.3829,0.00549,0.00156,0.0050,0.0126,0.9420
3.000,0.4176,0.00566,0.00180,0.0064,0.0096,0.9639
3.250,0.4551,0.00595,0.00219,0.0075,0.0080,0.9796
3.500,0.4973,0.00642,0.00281,0.0079,0.0067,0.9885
