alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6704,0.00757,0.00296,-0.0078,0.7332,0.0928
-4.750,-0.6370,0.00741,0.00277,-0.0070,0.7147,0.1021
-4.500,-0.6036,0.00725,0.00260,-0.0063,0.6960,0.1123
-4.250,-0.5702,0.00710,0.00243,-0.0056,0.6769,0.1233
-4.000,-0.5368,0.00696,0.00228,-0.0050,0.6583,0.1351
-3.750,-0.5035,0.00683,0.00214,-0.0045,0.6396,0.1478
-3.500,-0.4700,0.00671,0.00201,-0.0040,0.6215,0.1609
-3.250,-0.4366,0.00660,0.00190,-0.0035,0.6030,0.1746
-2.750,-0.3697,0.00640,0.00169,-0.0027,0.5671,0.2045
-2.500,-0.3362,0.00630,0.00160,-0.0023,0.5501,0.2204
-2.250,-0.3027,0.00622,0.00152,-0.0020,0.5326,0.2359
-2.000,-0.2692,0.00615,0.00145,-0.0017,0.5157,0.2521
-1.750,-0.2356,0.00608,0.00139,-0.0014,0.4990,0.2685
-1.500,-0.2021,0.00602,0.00134,-0.0011,0.4817,0.2850
-1.250,-0.1684,0.00597,0.00130,-0.0009,0.4652,0.3014
-1.000,-0.1348,0.00594,0.00126,-0.0007,0.4486,0.3176
-0.750,-0.1011,0.00591,0.00124,-0.0005,0.4322,0.3341
-0.500,-0.0674,0.00589,0.00122,-0.0003,0.4156,0.3499
-0.250,-0.0337,0.00588,0.00121,-0.0002,0.3994,0.3665
0.000,0.0000,0.00587,0.00120,0.0000,0.3828,0.3828
0.250,0.0337,0.00588,0.00121,0.0002,0.3664,0.3992
0.500,0.0674,0.00589,0.00122,0.0003,0.3500,0.4156
0.750,0.1011,0.00591,0.00124,0.0005,0.3340,0.4323
1.000,0.1348,0.00594,0.00126,0.0007,0.3179,0.4487
1.250,0.1684,0.00598,0.00130,0.0009,0.3012,0.4653
1.500,0.2020,0.00602,0.00134,0.0012,0.2848,0.4818
1.750,0.2357,0.00608,0.00139,0.0014,0.2687,0.4987
2.000,0.2691,0.00615,0.00145,0.0017,0.2518,0.5159
2.250,0.3027,0.00622,0.00152,0.0020,0.2363,0.5327
2.500,0.3362,0.00630,0.00160,0.0023,0.2204,0.5501
2.750,0.3697,0.00640,0.00169,0.0027,0.2043,0.5673
3.250,0.4366,0.00660,0.00190,0.0035,0.1746,0.6030
3.500,0.4701,0.00671,0.00201,0.0040,0.1608,0.6210
3.750,0.5035,0.00683,0.00214,0.0045,0.1477,0.6400
4.000,0.5369,0.00696,0.00228,0.0050,0.1352,0.6584
4.250,0.5702,0.00710,0.00243,0.0056,0.1232,0.6769
4.500,0.6036,0.00725,0.00260,0.0063,0.1123,0.6960
4.750,0.6370,0.00741,0.00277,0.0070,0.1021,0.7145
5.000,0.6704,0.00757,0.00296,0.0078,0.0928,0.7331
5.250,0.7038,0.00775,0.00316,0.0086,0.0844,0.7516
5.500,0.7371,0.00793,0.00337,0.0095,0.0767,0.7703
5.750,0.7705,0.00811,0.00360,0.0104,0.0701,0.7890
6.000,0.8040,0.00829,0.00382,0.0114,0.0646,0.8075
6.250,0.8374,0.00849,0.00407,0.0125,0.0592,0.8253
6.500,0.8708,0.00871,0.00433,0.0137,0.0547,0.8424
6.750,0.9039,0.00894,0.00462,0.0150,0.0502,0.8590
7.000,0.9369,0.00919,0.00491,0.0164,0.0464,0.8748
7.250,0.9702,0.00942,0.00521,0.0178,0.0433,0.8898
7.500,1.0028,0.00970,0.00555,0.0195,0.0402,0.9041
7.750,1.0352,0.00999,0.00590,0.0212,0.0375,0.9178
8.000,1.0676,0.01028,0.00626,0.0231,0.0353,0.9308
8.250,1.0985,0.01062,0.00666,0.0252,0.0331,0.9435
8.500,1.1293,0.01095,0.00706,0.0275,0.0313,0.9553
9.000,1.1878,0.01172,0.00797,0.0328,0.0282,0.9767
9.250,1.2179,0.01216,0.00848,0.0354,0.0268,0.9858
9.500,1.2483,0.01269,0.00909,0.0378,0.0256,0.9936
10.000,1.3203,0.01403,0.01060,0.0407,0.0233,0.9994
