alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5796,0.05703,0.04862,0.0118,1.0000,0.4461
-4.750,-0.6696,0.05201,0.04360,0.0206,1.0000,0.4503
-4.500,-0.6446,0.05227,0.04392,0.0234,1.0000,0.4641
-4.250,-0.6547,0.05082,0.04249,0.0280,1.0000,0.4753
-4.000,-0.7015,0.04741,0.03899,0.0344,1.0000,0.4858
-3.750,-0.6850,0.04730,0.03894,0.0374,1.0000,0.5001
-3.500,-0.6814,0.04649,0.03814,0.0410,1.0000,0.5141
-3.250,-0.6857,0.04518,0.03681,0.0448,1.0000,0.5286
-3.000,-0.6895,0.04386,0.03544,0.0485,1.0000,0.5443
-2.750,-0.6886,0.04281,0.03436,0.0518,1.0000,0.5609
-2.500,-0.6649,0.04259,0.03413,0.0525,0.9962,0.5800
-2.250,-0.5912,0.04367,0.03523,0.0465,0.9796,0.6054
-2.000,-0.5406,0.04365,0.03515,0.0427,0.9623,0.6306
-1.750,-0.4868,0.04384,0.03531,0.0388,0.9448,0.6550
-1.500,-0.4129,0.04487,0.03634,0.0332,0.9270,0.6784
-1.250,-0.3506,0.04538,0.03682,0.0286,0.9088,0.7019
-1.000,-0.3038,0.04551,0.03691,0.0261,0.8903,0.7244
-0.750,-0.2586,0.04558,0.03696,0.0238,0.8719,0.7469
-0.500,-0.1842,0.04635,0.03773,0.0179,0.8517,0.7676
-0.250,-0.1020,0.04695,0.03833,0.0106,0.8311,0.7884
0.000,-0.0001,0.04725,0.03863,0.0000,0.8097,0.8097
0.250,0.1020,0.04695,0.03833,-0.0106,0.7884,0.8311
0.500,0.1842,0.04635,0.03773,-0.0179,0.7676,0.8517
0.750,0.2586,0.04557,0.03696,-0.0238,0.7469,0.8719
1.000,0.3038,0.04550,0.03691,-0.0261,0.7245,0.8903
1.250,0.3505,0.04538,0.03681,-0.0286,0.7019,0.9089
1.500,0.4130,0.04487,0.03633,-0.0332,0.6785,0.9270
1.750,0.4869,0.04383,0.03530,-0.0389,0.6550,0.9449
2.000,0.5407,0.04364,0.03514,-0.0427,0.6306,0.9624
2.250,0.5912,0.04366,0.03522,-0.0465,0.6054,0.9797
2.500,0.6650,0.04257,0.03412,-0.0525,0.5800,0.9962
2.750,0.6884,0.04281,0.03435,-0.0518,0.5609,1.0000
3.000,0.6894,0.04385,0.03543,-0.0485,0.5443,1.0000
3.250,0.6856,0.04517,0.03679,-0.0448,0.5286,1.0000
3.500,0.6813,0.04648,0.03812,-0.0410,0.5141,1.0000
3.750,0.6851,0.04728,0.03892,-0.0374,0.5001,1.0000
4.000,0.7016,0.04739,0.03897,-0.0344,0.4858,1.0000
4.250,0.6547,0.05080,0.04247,-0.0280,0.4753,1.0000
4.500,0.6447,0.05225,0.04390,-0.0234,0.4641,1.0000
4.750,0.6698,0.05199,0.04358,-0.0206,0.4503,1.0000
5.000,0.5799,0.05700,0.04859,-0.0118,0.4461,1.0000
5.250,0.6126,0.05654,0.04808,-0.0092,0.4325,1.0000
5.500,0.5145,0.06164,0.05309,-0.0004,0.4302,1.0000
5.750,0.4457,0.06646,0.05780,0.0045,0.4244,1.0000
6.000,0.4630,0.06710,0.05839,0.0075,0.4132,1.0000
6.250,0.4133,0.07161,0.06280,0.0106,0.4068,1.0000
6.500,0.4312,0.07265,0.06380,0.0131,0.3956,1.0000
6.750,0.3938,0.07705,0.06810,0.0148,0.3895,1.0000
7.000,0.4142,0.07833,0.06935,0.0169,0.3785,1.0000
7.250,0.3834,0.08281,0.07376,0.0175,0.3730,1.0000
7.500,0.4092,0.08412,0.07505,0.0193,0.3619,1.0000
7.750,0.3809,0.08884,0.07971,0.0191,0.3576,1.0000
8.000,0.3767,0.09222,0.08307,0.0193,0.3510,1.0000
8.250,0.3876,0.09495,0.08577,0.0200,0.3431,1.0000
8.500,0.3744,0.09910,0.08988,0.0194,0.3395,1.0000
8.750,0.3735,0.10263,0.09340,0.0191,0.3346,1.0000
9.000,0.3904,0.10548,0.09625,0.0195,0.3270,1.0000
9.250,0.3818,0.10964,0.10038,0.0185,0.3253,1.0000
9.500,0.3792,0.11369,0.10442,0.0175,0.3248,1.0000
9.750,0.3792,0.11770,0.10842,0.0164,0.3250,1.0000
10.000,0.3871,0.12197,0.11269,0.0153,0.3270,1.0000
