alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5944,0.00738,0.00252,-0.0033,0.6217,0.1838
-4.750,-0.5657,0.00725,0.00240,-0.0030,0.6087,0.1935
-4.500,-0.5364,0.00717,0.00231,-0.0027,0.5940,0.2017
-4.250,-0.5070,0.00708,0.00222,-0.0024,0.5815,0.2096
-4.000,-0.4779,0.00697,0.00213,-0.0021,0.5692,0.2199
-3.750,-0.4482,0.00692,0.00205,-0.0019,0.5551,0.2279
-3.500,-0.4188,0.00684,0.00198,-0.0017,0.5432,0.2373
-3.250,-0.3892,0.00675,0.00190,-0.0015,0.5312,0.2475
-3.000,-0.3594,0.00672,0.00185,-0.0013,0.5173,0.2558
-2.750,-0.3299,0.00664,0.00179,-0.0011,0.5061,0.2666
-2.500,-0.3000,0.00659,0.00174,-0.0010,0.4944,0.2765
-2.250,-0.2701,0.00656,0.00170,-0.0008,0.4805,0.2850
-2.000,-0.2403,0.00649,0.00165,-0.0007,0.4710,0.2968
-1.750,-0.2102,0.00647,0.00161,-0.0006,0.4585,0.3062
-1.500,-0.1804,0.00644,0.00158,-0.0005,0.4468,0.3164
-1.250,-0.1503,0.00639,0.00155,-0.0004,0.4363,0.3275
-1.000,-0.1202,0.00640,0.00154,-0.0003,0.4233,0.3360
-0.750,-0.0903,0.00636,0.00152,-0.0002,0.4134,0.3484
-0.500,-0.0601,0.00635,0.00151,-0.0002,0.4023,0.3586
-0.250,-0.0302,0.00636,0.00150,-0.0001,0.3902,0.3688
0.000,-0.0000,0.00633,0.00149,0.0000,0.3808,0.3809
0.250,0.0302,0.00636,0.00150,0.0001,0.3688,0.3903
0.500,0.0601,0.00635,0.00151,0.0002,0.3586,0.4025
0.750,0.0903,0.00636,0.00152,0.0002,0.3485,0.4134
1.000,0.1202,0.00640,0.00154,0.0003,0.3363,0.4234
1.250,0.1504,0.00639,0.00155,0.0004,0.3276,0.4364
1.500,0.1804,0.00644,0.00158,0.0005,0.3164,0.4468
1.750,0.2102,0.00647,0.00162,0.0006,0.3058,0.4586
2.000,0.2403,0.00649,0.00165,0.0007,0.2968,0.4708
2.500,0.3001,0.00658,0.00173,0.0009,0.2769,0.4943
2.750,0.3299,0.00664,0.00179,0.0011,0.2665,0.5061
3.000,0.3594,0.00672,0.00185,0.0013,0.2554,0.5172
3.250,0.3893,0.00675,0.00190,0.0014,0.2476,0.5311
3.500,0.4188,0.00684,0.00198,0.0017,0.2374,0.5433
3.750,0.4483,0.00692,0.00205,0.0019,0.2281,0.5552
4.000,0.4779,0.00698,0.00213,0.0021,0.2196,0.5691
4.250,0.5071,0.00708,0.00222,0.0024,0.2096,0.5814
4.500,0.5365,0.00717,0.00231,0.0026,0.2016,0.5940
4.750,0.5658,0.00725,0.00240,0.0029,0.1934,0.6086
5.000,0.5945,0.00738,0.00252,0.0033,0.1839,0.6216
5.250,0.6238,0.00748,0.00262,0.0036,0.1769,0.6341
5.500,0.6526,0.00758,0.00274,0.0040,0.1691,0.6494
5.750,0.6810,0.00772,0.00288,0.0045,0.1604,0.6636
6.000,0.7100,0.00784,0.00300,0.0049,0.1543,0.6762
6.250,0.7384,0.00796,0.00314,0.0054,0.1473,0.6914
6.500,0.7663,0.00812,0.00330,0.0060,0.1396,0.7064
6.750,0.7949,0.00824,0.00344,0.0064,0.1342,0.7206
7.000,0.8228,0.00841,0.00361,0.0070,0.1278,0.7337
7.250,0.8502,0.00858,0.00378,0.0077,0.1215,0.7496
7.500,0.8781,0.00872,0.00395,0.0083,0.1166,0.7645
7.750,0.9052,0.00891,0.00415,0.0091,0.1109,0.7787
8.250,0.9593,0.00926,0.00455,0.0107,0.1015,0.8078
8.500,0.9852,0.00948,0.00478,0.0117,0.0966,0.8221
8.750,1.0118,0.00967,0.00499,0.0126,0.0928,0.8354
9.000,1.0364,0.00990,0.00523,0.0139,0.0885,0.8491
9.250,1.0588,0.01008,0.00545,0.0156,0.0854,0.8639
9.500,1.0814,0.01033,0.00573,0.0172,0.0816,0.8775
9.750,1.1054,0.01059,0.00601,0.0186,0.0786,0.8896
10.000,1.1284,0.01087,0.00632,0.0201,0.0755,0.9031
10.250,1.1515,0.01115,0.00663,0.0216,0.0728,0.9162
10.500,1.1734,0.01148,0.00699,0.0232,0.0697,0.9283
10.750,1.1961,0.01180,0.00734,0.0247,0.0674,0.9395
11.000,1.2161,0.01219,0.00775,0.0266,0.0647,0.9517
11.250,1.2369,0.01252,0.00813,0.0284,0.0629,0.9632
11.500,1.2551,0.01297,0.00859,0.0306,0.0606,0.9743
11.750,1.2753,0.01340,0.00904,0.0323,0.0587,0.9839
12.250,1.3239,0.01448,0.01013,0.0339,0.0546,0.9955
12.500,1.3515,0.01504,0.01070,0.0339,0.0528,0.9982
12.750,1.3741,0.01575,0.01141,0.0346,0.0507,1.0000
13.000,1.3904,0.01634,0.01202,0.0366,0.0495,1.0000
13.250,1.4077,0.01701,0.01271,0.0383,0.0482,1.0000
13.500,1.4233,0.01784,0.01355,0.0400,0.0467,1.0000
13.750,1.4402,0.01866,0.01440,0.0414,0.0455,1.0000
14.000,1.4574,0.01953,0.01528,0.0427,0.0445,1.0000
14.250,1.4721,0.02056,0.01633,0.0440,0.0432,1.0000
14.500,1.4858,0.02170,0.01750,0.0453,0.0418,1.0000
14.750,1.5010,0.02281,0.01865,0.0464,0.0411,1.0000
15.000,1.5145,0.02408,0.01994,0.0475,0.0401,1.0000
