alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.2966,0.08972,0.08154,-0.0113,1.0000,0.3749
-4.750,-0.3062,0.08800,0.07993,-0.0079,1.0000,0.3833
-4.250,-0.3332,0.08483,0.07694,-0.0007,1.0000,0.4003
-4.000,-0.3437,0.08339,0.07558,0.0030,1.0000,0.4091
-3.750,-0.3658,0.08179,0.07405,0.0066,1.0000,0.4180
-3.500,-0.3713,0.08058,0.07291,0.0102,1.0000,0.4284
-3.000,-0.3311,0.07504,0.06733,0.0037,0.9747,0.4602
-2.750,-0.2983,0.07205,0.06428,-0.0013,0.9535,0.4797
-2.500,-0.2708,0.06917,0.06135,-0.0055,0.9327,0.4993
-2.250,-0.2540,0.06680,0.05894,-0.0069,0.9108,0.5182
-2.000,-0.1967,0.06506,0.05715,-0.0109,0.8867,0.5410
-1.750,-0.1694,0.06337,0.05542,-0.0116,0.8640,0.5614
-1.500,-0.1548,0.06191,0.05394,-0.0102,0.8417,0.5811
-1.250,-0.1202,0.06049,0.05248,-0.0108,0.8198,0.6034
-1.000,-0.0924,0.05983,0.05181,-0.0093,0.7961,0.6236
-0.750,-0.0689,0.05914,0.05110,-0.0073,0.7737,0.6448
-0.500,-0.0552,0.05825,0.05017,-0.0042,0.7537,0.6665
-0.250,-0.0249,0.05812,0.05005,-0.0024,0.7310,0.6874
0.000,0.0001,0.05827,0.05021,-0.0000,0.7083,0.7083
0.250,0.0249,0.05811,0.05004,0.0024,0.6874,0.7311
0.500,0.0552,0.05825,0.05018,0.0042,0.6665,0.7537
0.750,0.0690,0.05914,0.05110,0.0073,0.6447,0.7738
1.000,0.0924,0.05982,0.05180,0.0093,0.6236,0.7961
1.250,0.1206,0.06049,0.05248,0.0107,0.6034,0.8198
1.500,0.1548,0.06191,0.05393,0.0102,0.5811,0.8417
1.750,0.1694,0.06336,0.05541,0.0116,0.5614,0.8641
2.000,0.1969,0.06505,0.05714,0.0109,0.5410,0.8867
2.250,0.2540,0.06679,0.05893,0.0069,0.5182,0.9109
2.500,0.2711,0.06916,0.06134,0.0054,0.4993,0.9328
2.750,0.2985,0.07203,0.06427,0.0013,0.4797,0.9536
3.250,0.3747,0.07838,0.07074,-0.0108,0.4402,0.9950
3.500,0.3714,0.08055,0.07288,-0.0102,0.4284,1.0000
3.750,0.3659,0.08176,0.07401,-0.0066,0.4180,1.0000
4.000,0.3289,0.08052,0.07338,-0.0041,0.4030,0.9979
4.250,0.3333,0.08479,0.07690,0.0007,0.4003,1.0000
4.500,0.3077,0.08399,0.07675,0.0002,0.3861,1.0000
