alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.3800,0.09023,0.08212,0.0092,1.0000,0.4387
-4.750,-0.4041,0.08829,0.08024,0.0123,1.0000,0.4446
-4.500,-0.3965,0.08739,0.07938,0.0138,0.9983,0.4537
-4.250,-0.3673,0.08408,0.07600,0.0082,0.9847,0.4670
-4.000,-0.3721,0.08009,0.07195,0.0052,0.9716,0.4794
-3.750,-0.3166,0.07835,0.07017,-0.0005,0.9556,0.4950
-3.500,-0.2742,0.07635,0.06812,-0.0051,0.9396,0.5097
-3.250,-0.2508,0.07410,0.06583,-0.0077,0.9236,0.5239
-3.000,-0.2687,0.07120,0.06288,-0.0062,0.9086,0.5364
-2.750,-0.2137,0.07030,0.06196,-0.0101,0.8908,0.5522
-2.500,-0.1767,0.06912,0.06076,-0.0121,0.8733,0.5668
-2.250,-0.1732,0.06753,0.05915,-0.0106,0.8573,0.5802
-2.000,-0.1859,0.06571,0.05728,-0.0072,0.8428,0.5941
-1.750,-0.1290,0.06531,0.05688,-0.0104,0.8250,0.6100
-1.500,-0.0836,0.06447,0.05602,-0.0127,0.8083,0.6262
-1.250,-0.0453,0.06343,0.05495,-0.0142,0.7927,0.6425
-1.000,-0.1194,0.06252,0.05403,-0.0015,0.7791,0.6529
-0.750,-0.0613,0.06274,0.05427,-0.0044,0.7608,0.6685
-0.500,-0.0301,0.06258,0.05411,-0.0043,0.7443,0.6836
-0.250,0.0042,0.06206,0.05356,-0.0046,0.7294,0.7002
0.000,0.0012,0.06157,0.05306,-0.0002,0.7157,0.7158
0.250,-0.0042,0.06205,0.05355,0.0046,0.7002,0.7294
0.500,0.0302,0.06258,0.05410,0.0043,0.6836,0.7443
0.750,0.0614,0.06274,0.05426,0.0044,0.6685,0.7608
1.000,0.1195,0.06251,0.05402,0.0015,0.6529,0.7792
1.250,0.0456,0.06342,0.05495,0.0142,0.6425,0.7927
1.500,0.0835,0.06446,0.05600,0.0127,0.6263,0.8084
1.750,0.1290,0.06530,0.05686,0.0104,0.6100,0.8250
2.000,0.1860,0.06569,0.05726,0.0072,0.5941,0.8429
2.250,0.1736,0.06751,0.05913,0.0105,0.5801,0.8574
2.500,0.1770,0.06911,0.06075,0.0120,0.5668,0.8734
2.750,0.2140,0.07029,0.06195,0.0100,0.5522,0.8909
3.000,0.2691,0.07118,0.06287,0.0062,0.5364,0.9086
3.250,0.2514,0.07408,0.06581,0.0076,0.5238,0.9237
3.500,0.2747,0.07633,0.06810,0.0050,0.5097,0.9397
3.750,0.3170,0.07833,0.07014,0.0005,0.4950,0.9557
4.000,0.3726,0.08006,0.07193,-0.0052,0.4794,0.9718
4.250,0.3680,0.08405,0.07597,-0.0083,0.4669,0.9848
4.500,0.3972,0.08737,0.07936,-0.0139,0.4537,0.9985
4.750,0.4037,0.08826,0.08021,-0.0123,0.4447,1.0000
5.000,0.3802,0.09017,0.08206,-0.0092,0.4388,1.0000
5.250,0.3544,0.09206,0.08391,-0.0061,0.4331,1.0000
5.500,0.3643,0.09242,0.08419,-0.0033,0.4249,1.0000
5.750,0.3340,0.09453,0.08624,-0.0001,0.4205,1.0000
6.000,0.3100,0.09633,0.08798,0.0029,0.4158,1.0000
6.250,0.3059,0.09745,0.08901,0.0059,0.4092,1.0000
6.500,0.2994,0.09892,0.09040,0.0088,0.4037,1.0000
6.750,0.2762,0.10095,0.09236,0.0116,0.4001,1.0000
7.000,0.2639,0.10278,0.09412,0.0141,0.3955,1.0000
7.250,0.2833,0.10419,0.09544,0.0164,0.3876,1.0000
7.500,0.2615,0.10665,0.09783,0.0183,0.3851,1.0000
7.750,0.2490,0.10908,0.10018,0.0199,0.3826,1.0000
8.000,0.2422,0.11157,0.10260,0.0212,0.3804,1.0000
8.250,0.2394,0.11412,0.10509,0.0221,0.3780,1.0000
8.500,0.2371,0.11693,0.10783,0.0228,0.3780,1.0000
9.000,0.1357,0.12525,0.11721,0.0178,0.4706,1.0000
9.500,0.1411,0.12885,0.12071,0.0204,0.4566,1.0000
9.750,0.1464,0.13050,0.12231,0.0215,0.4463,1.0000
10.250,0.2377,0.14084,0.13147,0.0188,0.4354,1.0000
10.750,0.1530,0.13688,0.12856,0.0249,0.4169,1.0000
11.000,0.1700,0.14006,0.13169,0.0253,0.4076,1.0000
11.250,0.2975,0.15571,0.14619,0.0167,0.4052,1.0000
11.750,0.1904,0.14692,0.13846,0.0261,0.3872,1.0000
12.000,0.1755,0.14476,0.13633,0.0268,0.3793,1.0000
12.500,0.3551,0.17274,0.16306,0.0130,0.3696,1.0000
13.000,0.3689,0.17730,0.16757,0.0111,0.3547,1.0000
13.250,0.2046,0.15355,0.14504,0.0264,0.3453,1.0000
13.500,0.3850,0.18306,0.17327,0.0085,0.3428,1.0000
13.750,0.4144,0.19024,0.18045,0.0076,0.3357,1.0000
14.000,0.4136,0.19131,0.18147,0.0059,0.3320,1.0000
14.250,0.2479,0.16494,0.15638,0.0249,0.3187,1.0000
14.500,0.4548,0.20274,0.19288,0.0035,0.3181,1.0000
14.750,0.2454,0.16553,0.15697,0.0239,0.3070,1.0000
15.000,0.2735,0.17297,0.16438,0.0232,0.3015,1.0000
