alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6641,0.02844,0.01876,0.0023,1.0000,0.3486
-4.750,-0.6463,0.02728,0.01766,0.0052,1.0000,0.3861
-4.500,-0.6263,0.02643,0.01702,0.0083,1.0000,0.4267
-4.250,-0.6069,0.02570,0.01648,0.0115,1.0000,0.4699
-4.000,-0.5872,0.02513,0.01607,0.0149,1.0000,0.5141
-3.750,-0.5670,0.02471,0.01579,0.0185,1.0000,0.5581
-3.500,-0.5463,0.02442,0.01563,0.0221,1.0000,0.6012
-3.250,-0.5251,0.02424,0.01554,0.0258,1.0000,0.6432
-3.000,-0.5041,0.02412,0.01546,0.0295,1.0000,0.6844
-2.750,-0.4795,0.02421,0.01559,0.0330,1.0000,0.7240
-2.500,-0.4509,0.02442,0.01580,0.0358,1.0000,0.7628
-2.250,-0.4204,0.02460,0.01592,0.0379,1.0000,0.8024
-2.000,-0.3656,0.02516,0.01637,0.0362,1.0000,0.8411
-1.750,-0.2940,0.02560,0.01662,0.0306,1.0000,0.8800
-1.500,-0.1967,0.02573,0.01652,0.0192,1.0000,0.9171
-1.250,-0.1032,0.02532,0.01596,0.0070,1.0000,0.9511
-1.000,-0.0103,0.02449,0.01503,-0.0062,1.0000,0.9827
-0.750,0.0456,0.02367,0.01419,-0.0137,1.0000,1.0000
-0.500,0.0353,0.02341,0.01398,-0.0098,1.0000,1.0000
-0.250,0.0193,0.02327,0.01387,-0.0051,1.0000,1.0000
0.000,-0.0000,0.02323,0.01384,0.0000,1.0000,1.0000
0.250,-0.0193,0.02327,0.01387,0.0051,1.0000,1.0000
0.500,-0.0353,0.02340,0.01398,0.0098,1.0000,1.0000
0.750,-0.0456,0.02366,0.01419,0.0137,1.0000,1.0000
1.000,0.0102,0.02449,0.01503,0.0062,0.9827,1.0000
1.250,0.1031,0.02531,0.01595,-0.0070,0.9511,1.0000
1.500,0.1967,0.02572,0.01652,-0.0192,0.9171,1.0000
1.750,0.2940,0.02559,0.01662,-0.0306,0.8800,1.0000
2.000,0.3656,0.02516,0.01637,-0.0362,0.8412,1.0000
2.250,0.4202,0.02460,0.01592,-0.0379,0.8025,1.0000
2.500,0.4508,0.02442,0.01580,-0.0358,0.7628,1.0000
2.750,0.4795,0.02421,0.01559,-0.0330,0.7241,1.0000
3.000,0.5040,0.02412,0.01546,-0.0295,0.6845,1.0000
3.250,0.5251,0.02424,0.01554,-0.0258,0.6432,1.0000
3.500,0.5462,0.02442,0.01563,-0.0221,0.6012,1.0000
3.750,0.5670,0.02471,0.01579,-0.0185,0.5581,1.0000
4.000,0.5872,0.02513,0.01607,-0.0149,0.5142,1.0000
4.250,0.6069,0.02570,0.01647,-0.0115,0.4699,1.0000
4.500,0.6263,0.02642,0.01702,-0.0083,0.4268,1.0000
4.750,0.6462,0.02728,0.01766,-0.0052,0.3862,1.0000
5.000,0.6640,0.02844,0.01876,-0.0023,0.3486,1.0000
5.250,0.6838,0.02966,0.01981,0.0003,0.3160,1.0000
5.500,0.7020,0.03113,0.02125,0.0029,0.2879,1.0000
5.750,0.7188,0.03291,0.02313,0.0054,0.2648,1.0000
6.000,0.7375,0.03469,0.02489,0.0077,0.2452,1.0000
6.250,0.7552,0.03671,0.02693,0.0099,0.2288,1.0000
6.500,0.7700,0.03901,0.02938,0.0122,0.2154,1.0000
6.750,0.7737,0.04202,0.03283,0.0148,0.2059,1.0000
7.000,0.7809,0.04498,0.03601,0.0171,0.1976,1.0000
7.250,0.7848,0.04808,0.03934,0.0193,0.1903,1.0000
7.500,0.7842,0.05168,0.04314,0.0213,0.1856,1.0000
7.750,0.7666,0.05619,0.04797,0.0229,0.1837,1.0000
8.000,0.7447,0.06106,0.05303,0.0237,0.1829,1.0000
8.500,0.6892,0.07236,0.06446,0.0219,0.1845,1.0000
8.750,0.6661,0.07938,0.07145,0.0179,0.1857,1.0000
9.000,0.6281,0.08975,0.08175,0.0091,0.1924,1.0000
9.250,0.6142,0.09635,0.08829,0.0053,0.1950,1.0000
9.500,0.6078,0.10208,0.09398,0.0026,0.1972,1.0000
9.750,0.6093,0.10730,0.09919,0.0009,0.1998,1.0000
10.000,0.5855,0.11554,0.10737,-0.0058,0.2222,1.0000
