alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5667,0.00641,0.00204,-0.0020,0.9399,0.0354
-4.750,-0.5391,0.00627,0.00189,-0.0017,0.9255,0.0414
-4.500,-0.5113,0.00615,0.00176,-0.0013,0.9096,0.0476
-4.250,-0.4832,0.00605,0.00164,-0.0011,0.8923,0.0547
-4.000,-0.4551,0.00593,0.00152,-0.0009,0.8726,0.0649
-3.750,-0.4269,0.00582,0.00140,-0.0007,0.8517,0.0760
-3.500,-0.3987,0.00571,0.00129,-0.0005,0.8283,0.0911
-3.250,-0.3704,0.00561,0.00119,-0.0004,0.8043,0.1070
-3.000,-0.3421,0.00551,0.00109,-0.0003,0.7794,0.1271
-2.750,-0.3138,0.00541,0.00101,-0.0002,0.7538,0.1483
-2.500,-0.2853,0.00533,0.00093,-0.0001,0.7279,0.1699
-2.000,-0.2286,0.00515,0.00079,-0.0000,0.6738,0.2246
-1.750,-0.2001,0.00509,0.00073,0.0000,0.6456,0.2518
-1.500,-0.1716,0.00502,0.00069,0.0000,0.6187,0.2803
-1.250,-0.1431,0.00496,0.00064,0.0000,0.5919,0.3101
-1.000,-0.1145,0.00492,0.00061,0.0000,0.5634,0.3382
-0.750,-0.0859,0.00489,0.00059,0.0000,0.5361,0.3666
-0.500,-0.0572,0.00486,0.00057,0.0000,0.5091,0.3954
-0.250,-0.0286,0.00485,0.00056,0.0000,0.4805,0.4243
0.000,0.0000,0.00484,0.00055,-0.0000,0.4523,0.4520
0.250,0.0287,0.00485,0.00056,-0.0000,0.4243,0.4805
0.500,0.0573,0.00486,0.00057,-0.0000,0.3955,0.5088
0.750,0.0859,0.00488,0.00059,-0.0000,0.3671,0.5359
1.000,0.1145,0.00492,0.00061,-0.0001,0.3385,0.5641
1.250,0.1431,0.00496,0.00064,-0.0001,0.3100,0.5910
1.500,0.1716,0.00502,0.00069,-0.0000,0.2797,0.6192
1.750,0.2002,0.00508,0.00073,-0.0000,0.2535,0.6462
2.000,0.2286,0.00515,0.00079,-0.0000,0.2251,0.6737
2.250,0.2570,0.00524,0.00085,0.0000,0.1969,0.7008
2.500,0.2854,0.00533,0.00093,0.0001,0.1701,0.7277
2.750,0.3138,0.00543,0.00101,0.0002,0.1461,0.7537
3.000,0.3422,0.00551,0.00109,0.0003,0.1265,0.7806
3.250,0.3704,0.00562,0.00119,0.0004,0.1054,0.8051
3.500,0.3988,0.00571,0.00129,0.0005,0.0904,0.8291
3.750,0.4270,0.00582,0.00140,0.0007,0.0761,0.8515
4.000,0.4552,0.00593,0.00152,0.0008,0.0648,0.8725
4.250,0.4833,0.00604,0.00164,0.0011,0.0549,0.8921
4.500,0.5114,0.00615,0.00177,0.0013,0.0476,0.9096
