alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.7055,0.03926,0.03059,0.0093,1.0000,0.3979
-4.750,-0.7024,0.03782,0.02912,0.0135,1.0000,0.4161
-4.500,-0.7007,0.03636,0.02758,0.0177,1.0000,0.4353
-4.250,-0.6819,0.03582,0.02712,0.0211,1.0000,0.4572
-4.000,-0.6695,0.03502,0.02634,0.0248,1.0000,0.4796
-3.750,-0.6630,0.03393,0.02520,0.0286,1.0000,0.5022
-3.500,-0.6421,0.03372,0.02509,0.0319,1.0000,0.5260
-3.250,-0.6338,0.03282,0.02414,0.0354,1.0000,0.5506
-3.000,-0.6123,0.03277,0.02418,0.0386,1.0000,0.5747
-2.750,-0.6019,0.03209,0.02347,0.0418,1.0000,0.6008
-2.500,-0.5798,0.03222,0.02369,0.0449,1.0000,0.6252
-2.250,-0.5671,0.03180,0.02326,0.0479,1.0000,0.6518
-2.000,-0.5461,0.03199,0.02350,0.0508,1.0000,0.6770
-1.750,-0.5304,0.03188,0.02342,0.0536,1.0000,0.7039
-1.500,-0.5115,0.03203,0.02358,0.0562,1.0000,0.7309
-1.250,-0.4899,0.03233,0.02391,0.0583,1.0000,0.7579
-1.000,-0.4702,0.03255,0.02414,0.0602,1.0000,0.7869
-0.750,-0.3957,0.03389,0.02544,0.0532,0.9869,0.8212
-0.500,-0.2814,0.03560,0.02706,0.0393,0.9655,0.8557
-0.250,-0.1475,0.03690,0.02827,0.0211,0.9421,0.8873
0.000,0.0000,0.03735,0.02869,0.0000,0.9167,0.9167
0.250,0.1475,0.03690,0.02827,-0.0211,0.8873,0.9421
0.500,0.2814,0.03560,0.02705,-0.0393,0.8557,0.9655
0.750,0.3957,0.03389,0.02543,-0.0532,0.8212,0.9870
1.000,0.4702,0.03254,0.02414,-0.0602,0.7869,1.0000
1.250,0.4899,0.03233,0.02391,-0.0583,0.7579,1.0000
1.500,0.5115,0.03203,0.02358,-0.0562,0.7309,1.0000
1.750,0.5304,0.03188,0.02341,-0.0536,0.7039,1.0000
2.000,0.5460,0.03198,0.02350,-0.0508,0.6770,1.0000
2.250,0.5670,0.03180,0.02326,-0.0479,0.6519,1.0000
2.500,0.5797,0.03222,0.02368,-0.0449,0.6253,1.0000
2.750,0.6019,0.03209,0.02346,-0.0418,0.6008,1.0000
3.000,0.6122,0.03277,0.02418,-0.0386,0.5747,1.0000
3.250,0.6338,0.03282,0.02413,-0.0354,0.5506,1.0000
3.500,0.6420,0.03372,0.02509,-0.0319,0.5260,1.0000
3.750,0.6628,0.03393,0.02520,-0.0286,0.5023,1.0000
4.000,0.6695,0.03501,0.02634,-0.0248,0.4796,1.0000
4.250,0.6818,0.03582,0.02712,-0.0211,0.4573,1.0000
4.500,0.7007,0.03635,0.02757,-0.0177,0.4353,1.0000
4.750,0.7024,0.03781,0.02911,-0.0135,0.4161,1.0000
5.000,0.7055,0.03925,0.03059,-0.0093,0.3979,1.0000
5.250,0.7079,0.04076,0.03212,-0.0051,0.3809,1.0000
5.500,0.7086,0.04242,0.03382,-0.0009,0.3654,1.0000
5.750,0.7087,0.04418,0.03558,0.0033,0.3508,1.0000
6.000,0.7110,0.04593,0.03733,0.0073,0.3370,1.0000
6.250,0.7168,0.04759,0.03897,0.0110,0.3233,1.0000
6.500,0.6690,0.05183,0.04331,0.0161,0.3197,1.0000
6.750,0.6766,0.05363,0.04508,0.0192,0.3073,1.0000
7.000,0.6218,0.05874,0.05017,0.0228,0.3058,1.0000
7.250,0.5686,0.06561,0.05698,0.0222,0.3036,1.0000
7.750,0.5388,0.07563,0.06693,0.0203,0.2898,1.0000
8.000,0.5161,0.08155,0.07279,0.0180,0.2852,1.0000
8.250,0.5295,0.08422,0.07546,0.0190,0.2760,1.0000
8.500,0.5086,0.09015,0.08134,0.0164,0.2733,1.0000
8.750,0.4986,0.09506,0.08622,0.0147,0.2695,1.0000
9.000,0.5167,0.09784,0.08901,0.0156,0.2614,1.0000
9.250,0.5042,0.10315,0.09429,0.0133,0.2600,1.0000
9.500,0.4973,0.10806,0.09918,0.0113,0.2588,1.0000
9.750,0.4942,0.11278,0.10388,0.0095,0.2585,1.0000
10.250,0.4848,0.12283,0.11391,0.0047,0.2682,1.0000
