alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5773,0.00717,0.00232,-0.0015,0.6285,0.1914
-4.750,-0.5488,0.00710,0.00223,-0.0014,0.6137,0.1985
-4.500,-0.5207,0.00700,0.00214,-0.0012,0.6009,0.2081
-4.250,-0.4922,0.00691,0.00206,-0.0010,0.5887,0.2169
-4.000,-0.4635,0.00685,0.00199,-0.0009,0.5743,0.2243
-3.750,-0.4352,0.00676,0.00191,-0.0007,0.5621,0.2350
-3.500,-0.4063,0.00670,0.00184,-0.0006,0.5502,0.2437
-3.250,-0.3777,0.00664,0.00178,-0.0005,0.5362,0.2527
-3.000,-0.3490,0.00657,0.00172,-0.0004,0.5249,0.2635
-2.750,-0.3198,0.00653,0.00168,-0.0004,0.5127,0.2716
-2.500,-0.2913,0.00648,0.00163,-0.0002,0.4987,0.2826
-2.250,-0.2622,0.00642,0.00158,-0.0002,0.4888,0.2928
-2.000,-0.2329,0.00640,0.00155,-0.0002,0.4768,0.3011
-1.750,-0.2043,0.00636,0.00151,-0.0001,0.4638,0.3132
-1.500,-0.1748,0.00633,0.00149,-0.0001,0.4541,0.3223
-1.250,-0.1459,0.00630,0.00146,-0.0001,0.4413,0.3330
-1.000,-0.1168,0.00628,0.00144,-0.0000,0.4306,0.3442
-0.500,-0.0586,0.00626,0.00142,0.0000,0.4067,0.3652
-0.250,-0.0290,0.00624,0.00141,-0.0000,0.3980,0.3755
0.000,-0.0000,0.00625,0.00141,-0.0000,0.3860,0.3861
0.250,0.0290,0.00624,0.00141,0.0000,0.3754,0.3981
0.500,0.0586,0.00626,0.00142,-0.0000,0.3653,0.4068
0.750,0.0873,0.00627,0.00143,0.0001,0.3525,0.4198
1.000,0.1169,0.00627,0.00144,0.0000,0.3444,0.4306
1.250,0.1459,0.00630,0.00146,0.0001,0.3331,0.4413
1.500,0.1748,0.00633,0.00149,0.0001,0.3222,0.4541
1.750,0.2043,0.00636,0.00152,0.0001,0.3129,0.4640
2.000,0.2330,0.00640,0.00155,0.0002,0.3012,0.4767
2.250,0.2622,0.00642,0.00158,0.0002,0.2926,0.4887
2.500,0.2913,0.00648,0.00163,0.0002,0.2828,0.4987
2.750,0.3198,0.00653,0.00168,0.0004,0.2715,0.5128
3.000,0.3490,0.00657,0.00172,0.0004,0.2633,0.5248
3.250,0.3777,0.00664,0.00178,0.0005,0.2528,0.5360
3.500,0.4064,0.00669,0.00184,0.0006,0.2439,0.5502
3.750,0.4353,0.00676,0.00191,0.0007,0.2351,0.5623
4.000,0.4636,0.00685,0.00199,0.0009,0.2241,0.5743
4.250,0.4922,0.00691,0.00206,0.0010,0.2168,0.5885
4.500,0.5208,0.00700,0.00214,0.0011,0.2079,0.6009
4.750,0.5489,0.00711,0.00224,0.0014,0.1984,0.6136
5.000,0.5774,0.00717,0.00232,0.0015,0.1915,0.6284
5.250,0.6054,0.00728,0.00242,0.0018,0.1828,0.6419
5.500,0.6335,0.00740,0.00253,0.0020,0.1749,0.6539
5.750,0.6616,0.00748,0.00263,0.0022,0.1681,0.6697
6.000,0.6891,0.00761,0.00276,0.0025,0.1597,0.6836
6.250,0.7170,0.00773,0.00288,0.0028,0.1533,0.6970
6.500,0.7448,0.00785,0.00300,0.0031,0.1468,0.7114
6.750,0.7717,0.00799,0.00315,0.0036,0.1390,0.7266
7.000,0.7995,0.00811,0.00328,0.0039,0.1340,0.7405
7.250,0.8266,0.00826,0.00344,0.0043,0.1278,0.7535
7.500,0.8533,0.00842,0.00360,0.0048,0.1217,0.7690
7.750,0.8805,0.00855,0.00375,0.0052,0.1170,0.7836
8.000,0.9068,0.00873,0.00393,0.0057,0.1112,0.7971
8.250,0.9336,0.00889,0.00410,0.0062,0.1071,0.8104
8.500,0.9596,0.00906,0.00429,0.0068,0.1023,0.8251
8.750,0.9853,0.00925,0.00449,0.0075,0.0977,0.8381
9.000,1.0115,0.00942,0.00467,0.0081,0.0941,0.8501
9.250,1.0362,0.00964,0.00490,0.0089,0.0894,0.8642
9.500,1.0618,0.00982,0.00510,0.0096,0.0865,0.8763
10.000,1.1094,0.01023,0.00555,0.0117,0.0800,0.9004
10.250,1.1294,0.01048,0.00580,0.0134,0.0764,0.9122
10.500,1.1521,0.01070,0.00605,0.0146,0.0742,0.9226
10.750,1.1733,0.01097,0.00634,0.0161,0.0714,0.9346
11.000,1.1949,0.01123,0.00662,0.0175,0.0691,0.9448
11.250,1.2157,0.01154,0.00694,0.0190,0.0666,0.9545
11.500,1.2350,0.01185,0.00727,0.0207,0.0643,0.9652
11.750,1.2546,0.01216,0.00759,0.0224,0.0626,0.9748
12.000,1.2733,0.01254,0.00798,0.0241,0.0603,0.9836
12.250,1.2951,0.01290,0.00834,0.0252,0.0587,0.9913
12.750,1.3473,0.01382,0.00925,0.0253,0.0544,0.9972
13.000,1.3739,0.01429,0.00972,0.0252,0.0530,0.9990
13.250,1.3940,0.01481,0.01023,0.0262,0.0513,1.0000
13.500,1.4086,0.01530,0.01073,0.0282,0.0499,1.0000
13.750,1.4260,0.01582,0.01126,0.0297,0.0488,1.0000
14.000,1.4423,0.01645,0.01189,0.0312,0.0473,1.0000
14.250,1.4582,0.01713,0.01259,0.0326,0.0459,1.0000
14.500,1.4759,0.01777,0.01324,0.0338,0.0450,1.0000
14.750,1.4920,0.01852,0.01400,0.0350,0.0440,1.0000
15.000,1.5062,0.01942,0.01491,0.0362,0.0427,1.0000
