alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6281,0.02827,0.01790,-0.0058,1.0000,0.2467
-4.750,-0.6053,0.02652,0.01629,-0.0038,1.0000,0.2813
-4.500,-0.5840,0.02493,0.01484,-0.0015,1.0000,0.3288
-4.250,-0.5640,0.02359,0.01389,0.0014,1.0000,0.3892
-4.000,-0.5455,0.02255,0.01323,0.0050,1.0000,0.4612
-3.750,-0.5272,0.02181,0.01282,0.0091,1.0000,0.5364
-3.500,-0.5077,0.02141,0.01269,0.0137,1.0000,0.6071
-3.250,-0.4875,0.02124,0.01268,0.0185,1.0000,0.6730
-3.000,-0.4630,0.02137,0.01290,0.0233,1.0000,0.7325
-2.750,-0.4307,0.02171,0.01319,0.0268,1.0000,0.7892
-2.500,-0.3769,0.02228,0.01355,0.0265,1.0000,0.8450
-2.250,-0.2850,0.02281,0.01366,0.0183,1.0000,0.8990
-2.000,-0.1740,0.02255,0.01295,0.0038,1.0000,0.9472
-1.750,-0.0695,0.02150,0.01161,-0.0114,1.0000,0.9874
-1.500,-0.0253,0.02053,0.01055,-0.0166,1.0000,1.0000
-1.250,-0.0155,0.01992,0.00994,-0.0153,1.0000,1.0000
-1.000,-0.0076,0.01944,0.00947,-0.0134,1.0000,1.0000
-0.750,-0.0024,0.01906,0.00912,-0.0109,1.0000,1.0000
-0.500,0.0002,0.01880,0.00888,-0.0076,1.0000,1.0000
-0.250,0.0008,0.01864,0.00874,-0.0040,1.0000,1.0000
0.000,0.0000,0.01859,0.00870,-0.0000,1.0000,1.0000
0.250,-0.0008,0.01864,0.00874,0.0040,1.0000,1.0000
0.500,-0.0002,0.01880,0.00888,0.0076,1.0000,1.0000
0.750,0.0024,0.01906,0.00912,0.0109,1.0000,1.0000
1.000,0.0077,0.01943,0.00947,0.0134,1.0000,1.0000
1.250,0.0156,0.01992,0.00994,0.0153,1.0000,1.0000
1.500,0.0254,0.02053,0.01055,0.0166,1.0000,1.0000
1.750,0.0695,0.02150,0.01161,0.0114,0.9874,1.0000
2.000,0.1740,0.02254,0.01295,-0.0038,0.9472,1.0000
2.250,0.2850,0.02281,0.01365,-0.0183,0.8990,1.0000
2.500,0.3769,0.02228,0.01355,-0.0265,0.8450,1.0000
2.750,0.4307,0.02170,0.01319,-0.0268,0.7893,1.0000
3.000,0.4630,0.02137,0.01290,-0.0233,0.7325,1.0000
3.250,0.4875,0.02124,0.01268,-0.0185,0.6731,1.0000
3.500,0.5077,0.02141,0.01269,-0.0137,0.6072,1.0000
3.750,0.5272,0.02181,0.01282,-0.0091,0.5364,1.0000
4.000,0.5454,0.02254,0.01322,-0.0050,0.4613,1.0000
4.250,0.5640,0.02359,0.01389,-0.0014,0.3893,1.0000
4.500,0.5840,0.02493,0.01484,0.0015,0.3289,1.0000
4.750,0.6052,0.02651,0.01629,0.0038,0.2813,1.0000
5.000,0.6280,0.02827,0.01790,0.0058,0.2467,1.0000
5.250,0.6511,0.03023,0.01985,0.0076,0.2207,1.0000
5.500,0.6725,0.03246,0.02231,0.0094,0.2008,1.0000
5.750,0.6932,0.03495,0.02502,0.0111,0.1864,1.0000
6.000,0.7107,0.03773,0.02812,0.0128,0.1750,1.0000
6.250,0.7274,0.04077,0.03139,0.0143,0.1670,1.0000
6.500,0.7370,0.04419,0.03525,0.0160,0.1603,1.0000
6.750,0.7488,0.04766,0.03891,0.0174,0.1552,1.0000
7.000,0.7468,0.05210,0.04382,0.0184,0.1537,1.0000
7.250,0.7407,0.05677,0.04882,0.0188,0.1527,1.0000
7.500,0.7304,0.06168,0.05395,0.0186,0.1524,1.0000
7.750,0.7167,0.06685,0.05927,0.0177,0.1530,1.0000
8.000,0.7022,0.07214,0.06462,0.0161,0.1540,1.0000
8.250,0.6897,0.07745,0.06994,0.0143,0.1551,1.0000
8.500,0.6824,0.08310,0.07559,0.0116,0.1565,1.0000
8.750,0.6513,0.09277,0.08517,0.0017,0.1674,1.0000
9.000,0.6346,0.10010,0.09242,-0.0043,0.1782,1.0000
9.250,0.6286,0.10666,0.09895,-0.0084,0.1926,1.0000
9.500,0.4625,0.11197,0.10458,-0.0123,0.3371,1.0000
