alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.4175,1.31111,1.30419,-0.0210,1.0000,0.1703
-4.750,-0.5965,0.06451,0.05662,-0.0007,1.0000,0.1660
-4.500,-0.5970,0.05996,0.05210,-0.0036,1.0000,0.1675
-4.250,-0.5979,0.05543,0.04756,-0.0065,1.0000,0.1690
-3.750,-0.5907,0.04678,0.03880,-0.0097,1.0000,0.1745
-3.500,-0.5873,0.04257,0.03442,-0.0112,1.0000,0.1807
-3.250,-0.5771,0.03865,0.03033,-0.0114,1.0000,0.1917
-3.000,-0.5623,0.03481,0.02623,-0.0113,1.0000,0.2044
-2.500,-0.5082,0.02772,0.01849,-0.0096,1.0000,0.2392
-2.250,-0.4731,0.02480,0.01544,-0.0072,1.0000,0.2872
-2.000,-0.4367,0.02214,0.01299,-0.0038,1.0000,0.3745
-1.750,-0.4120,0.02015,0.01176,0.0046,1.0000,0.5361
-1.500,-0.3660,0.01974,0.01179,0.0184,1.0000,0.7796
-1.250,-0.0930,0.01882,0.00929,-0.0145,1.0000,1.0000
-1.000,-0.0737,0.01810,0.00848,-0.0127,1.0000,1.0000
-0.750,-0.0546,0.01759,0.00788,-0.0102,1.0000,1.0000
-0.500,-0.0360,0.01725,0.00749,-0.0071,1.0000,1.0000
-0.250,-0.0180,0.01706,0.00726,-0.0036,1.0000,1.0000
0.000,0.0000,0.01699,0.00719,0.0000,1.0000,1.0000
0.250,0.0180,0.01706,0.00726,0.0036,1.0000,1.0000
0.500,0.0360,0.01725,0.00749,0.0071,1.0000,1.0000
0.750,0.0546,0.01759,0.00788,0.0102,1.0000,1.0000
1.000,0.0737,0.01810,0.00848,0.0127,1.0000,1.0000
1.250,0.0930,0.01881,0.00929,0.0145,1.0000,1.0000
1.500,0.3673,0.01972,0.01177,-0.0184,0.7779,1.0000
1.750,0.4120,0.02015,0.01176,-0.0046,0.5362,1.0000
2.000,0.4367,0.02214,0.01299,0.0038,0.3746,1.0000
2.250,0.4731,0.02479,0.01544,0.0072,0.2872,1.0000
2.500,0.5081,0.02772,0.01849,0.0096,0.2392,1.0000
2.750,0.5392,0.03109,0.02215,0.0109,0.2170,1.0000
3.000,0.5262,0.02388,0.01579,0.0128,0.2046,1.0000
3.250,0.5771,0.03865,0.03033,0.0114,0.1917,1.0000
3.500,0.5873,0.04257,0.03442,0.0112,0.1807,1.0000
3.750,0.5908,0.04678,0.03880,0.0097,0.1745,1.0000
4.000,0.5957,0.05104,0.04312,0.0084,0.1713,1.0000
4.500,0.5972,0.05996,0.05210,0.0036,0.1675,1.0000
4.750,0.5967,0.06452,0.05663,0.0006,0.1660,1.0000
5.000,0.5979,0.06916,0.06122,-0.0026,0.1632,1.0000
5.250,0.6043,0.07366,0.06567,-0.0042,0.1586,1.0000
