alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6078,0.03192,0.02158,-0.0104,1.0000,0.1567
-4.750,-0.5820,0.02933,0.01872,-0.0092,1.0000,0.1711
-4.500,-0.5547,0.02695,0.01610,-0.0079,1.0000,0.1916
-4.250,-0.5277,0.02487,0.01409,-0.0065,1.0000,0.2251
-4.000,-0.5016,0.02281,0.01230,-0.0049,1.0000,0.2802
-3.750,-0.4802,0.02072,0.01094,-0.0023,1.0000,0.3852
-3.500,-0.4674,0.01918,0.01035,0.0030,1.0000,0.5399
-3.250,-0.4541,0.01865,0.01040,0.0102,1.0000,0.6765
-3.000,-0.4318,0.01889,0.01079,0.0172,1.0000,0.7843
-2.750,-0.3647,0.01991,0.01135,0.0173,1.0000,0.8865
-2.500,-0.2023,0.01992,0.01032,-0.0049,1.0000,0.9769
-2.250,-0.1393,0.01879,0.00885,-0.0137,1.0000,1.0000
-2.000,-0.1239,0.01807,0.00803,-0.0133,1.0000,1.0000
-1.750,-0.1081,0.01749,0.00736,-0.0126,1.0000,1.0000
-1.500,-0.0920,0.01704,0.00682,-0.0115,1.0000,1.0000
-1.250,-0.0759,0.01669,0.00640,-0.0101,1.0000,1.0000
-1.000,-0.0600,0.01642,0.00608,-0.0085,1.0000,1.0000
-0.750,-0.0444,0.01622,0.00584,-0.0066,1.0000,1.0000
-0.500,-0.0294,0.01609,0.00567,-0.0045,1.0000,1.0000
-0.250,-0.0146,0.01601,0.00558,-0.0023,1.0000,1.0000
0.000,0.0000,0.01598,0.00555,0.0000,1.0000,1.0000
0.250,0.0146,0.01601,0.00558,0.0023,1.0000,1.0000
0.500,0.0294,0.01609,0.00567,0.0045,1.0000,1.0000
0.750,0.0444,0.01622,0.00584,0.0066,1.0000,1.0000
1.000,0.0600,0.01642,0.00607,0.0085,1.0000,1.0000
1.250,0.0759,0.01669,0.00640,0.0101,1.0000,1.0000
1.500,0.0920,0.01704,0.00681,0.0115,1.0000,1.0000
1.750,0.1081,0.01749,0.00736,0.0126,1.0000,1.0000
2.000,0.1240,0.01806,0.00802,0.0133,1.0000,1.0000
2.250,0.1393,0.01878,0.00885,0.0137,1.0000,1.0000
2.500,0.2023,0.01992,0.01032,0.0049,0.9769,1.0000
2.750,0.3648,0.01991,0.01135,-0.0173,0.8865,1.0000
3.000,0.4318,0.01889,0.01079,-0.0172,0.7843,1.0000
3.250,0.4541,0.01865,0.01040,-0.0102,0.6764,1.0000
3.500,0.4674,0.01918,0.01035,-0.0030,0.5399,1.0000
3.750,0.4802,0.02072,0.01094,0.0023,0.3852,1.0000
4.000,0.5016,0.02281,0.01230,0.0049,0.2801,1.0000
4.250,0.5277,0.02487,0.01410,0.0065,0.2251,1.0000
4.500,0.5547,0.02695,0.01610,0.0079,0.1916,1.0000
4.750,0.5820,0.02933,0.01872,0.0092,0.1711,1.0000
5.000,0.6078,0.03192,0.02158,0.0104,0.1567,1.0000
5.250,0.6316,0.03492,0.02499,0.0116,0.1474,1.0000
5.500,0.6532,0.03797,0.02829,0.0127,0.1387,1.0000
5.750,0.6699,0.04185,0.03281,0.0136,0.1362,1.0000
6.000,0.6831,0.04599,0.03747,0.0142,0.1344,1.0000
6.250,0.6930,0.05024,0.04212,0.0144,0.1322,1.0000
6.500,0.7000,0.05467,0.04685,0.0144,0.1307,1.0000
6.750,0.6990,0.05991,0.05242,0.0131,0.1324,1.0000
7.000,0.6954,0.06537,0.05807,0.0111,0.1354,1.0000
7.250,0.6964,0.07053,0.06333,0.0097,0.1385,1.0000
7.500,0.6784,0.07740,0.07029,0.0036,0.1464,1.0000
7.750,0.6890,0.08245,0.07536,0.0035,0.1523,1.0000
