alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6677,0.00728,0.00289,-0.0071,0.8491,0.0458
-4.750,-0.6338,0.00713,0.00269,-0.0063,0.8292,0.0515
-4.500,-0.6000,0.00697,0.00249,-0.0056,0.8080,0.0589
-4.000,-0.5328,0.00667,0.00213,-0.0044,0.7646,0.0793
-3.750,-0.4994,0.00653,0.00197,-0.0038,0.7420,0.0914
-3.500,-0.4660,0.00638,0.00182,-0.0033,0.7201,0.1062
-3.250,-0.4326,0.00627,0.00169,-0.0029,0.6963,0.1211
-3.000,-0.3992,0.00614,0.00156,-0.0025,0.6737,0.1392
-2.750,-0.3660,0.00602,0.00144,-0.0021,0.6506,0.1587
-2.500,-0.3328,0.00591,0.00134,-0.0018,0.6279,0.1801
-2.250,-0.2995,0.00582,0.00125,-0.0015,0.6049,0.2007
-2.000,-0.2663,0.00572,0.00117,-0.0013,0.5827,0.2232
-1.750,-0.2331,0.00565,0.00110,-0.0010,0.5595,0.2457
-1.500,-0.1998,0.00557,0.00104,-0.0008,0.5377,0.2691
-1.250,-0.1665,0.00552,0.00099,-0.0007,0.5157,0.2908
-1.000,-0.1332,0.00547,0.00095,-0.0005,0.4931,0.3137
-0.750,-0.1000,0.00543,0.00092,-0.0004,0.4714,0.3371
-0.500,-0.0666,0.00541,0.00090,-0.0002,0.4489,0.3589
-0.250,-0.0333,0.00539,0.00088,-0.0001,0.4276,0.3824
0.000,0.0000,0.00539,0.00088,0.0000,0.4042,0.4042
0.250,0.0333,0.00539,0.00088,0.0001,0.3821,0.4273
0.500,0.0666,0.00541,0.00090,0.0002,0.3590,0.4487
0.750,0.1000,0.00543,0.00092,0.0004,0.3373,0.4716
1.000,0.1332,0.00548,0.00095,0.0005,0.3136,0.4929
1.250,0.1665,0.00552,0.00099,0.0007,0.2910,0.5160
1.500,0.1999,0.00557,0.00104,0.0008,0.2692,0.5372
1.750,0.2330,0.00565,0.00110,0.0010,0.2447,0.5598
2.000,0.2664,0.00571,0.00116,0.0013,0.2240,0.5826
2.250,0.2995,0.00582,0.00125,0.0015,0.2004,0.6053
2.500,0.3328,0.00591,0.00134,0.0018,0.1794,0.6277
2.750,0.3660,0.00602,0.00144,0.0021,0.1587,0.6505
3.000,0.3993,0.00614,0.00156,0.0025,0.1396,0.6736
3.250,0.4326,0.00627,0.00169,0.0029,0.1213,0.6966
3.500,0.4660,0.00638,0.00182,0.0033,0.1062,0.7191
3.750,0.4994,0.00653,0.00197,0.0038,0.0914,0.7420
4.000,0.5328,0.00667,0.00214,0.0044,0.0792,0.7649
4.500,0.6001,0.00697,0.00249,0.0056,0.0590,0.8085
5.000,0.6678,0.00728,0.00289,0.0071,0.0459,0.8489
5.250,0.7017,0.00745,0.00311,0.0079,0.0407,0.8678
5.500,0.7357,0.00763,0.00333,0.0089,0.0366,0.8855
5.750,0.7697,0.00783,0.00358,0.0099,0.0327,0.9020
6.250,0.8376,0.00826,0.00412,0.0123,0.0270,0.9308
6.500,0.8712,0.00851,0.00443,0.0137,0.0246,0.9434
6.750,0.9047,0.00876,0.00474,0.0152,0.0226,0.9547
7.000,0.9381,0.00905,0.00509,0.0169,0.0210,0.9649
7.250,0.9716,0.00936,0.00545,0.0187,0.0195,0.9743
7.500,1.0056,0.00973,0.00589,0.0205,0.0182,0.9824
7.750,1.0431,0.01011,0.00635,0.0218,0.0171,0.9878
8.000,1.0812,0.01058,0.00689,0.0231,0.0160,0.9925
8.250,1.0843,0.00346,-0.00004,0.0264,0.0153,0.9937
