alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5726,0.00654,0.00202,-0.0012,0.8665,0.0664
-4.750,-0.5444,0.00642,0.00189,-0.0010,0.8480,0.0749
-4.500,-0.5161,0.00630,0.00177,-0.0008,0.8292,0.0845
-4.250,-0.4877,0.00619,0.00165,-0.0006,0.8094,0.0956
-4.000,-0.4593,0.00608,0.00154,-0.0005,0.7879,0.1085
-3.750,-0.4307,0.00598,0.00144,-0.0004,0.7676,0.1213
-3.500,-0.4022,0.00588,0.00134,-0.0003,0.7455,0.1371
-3.250,-0.3738,0.00577,0.00125,-0.0002,0.7233,0.1551
-3.000,-0.3452,0.00569,0.00116,-0.0001,0.7010,0.1724
-2.750,-0.3166,0.00560,0.00109,-0.0001,0.6785,0.1920
-2.500,-0.2881,0.00552,0.00102,-0.0000,0.6552,0.2132
-2.250,-0.2594,0.00544,0.00096,0.0000,0.6332,0.2337
-2.000,-0.2307,0.00538,0.00090,0.0001,0.6103,0.2548
-1.750,-0.2020,0.00532,0.00085,0.0001,0.5880,0.2774
-1.500,-0.1732,0.00527,0.00081,0.0001,0.5662,0.2992
-1.250,-0.1443,0.00523,0.00078,0.0001,0.5439,0.3203
-1.000,-0.1155,0.00520,0.00075,0.0001,0.5210,0.3429
-0.750,-0.0867,0.00516,0.00073,0.0001,0.4989,0.3657
-0.500,-0.0578,0.00515,0.00072,0.0000,0.4771,0.3874
-0.250,-0.0289,0.00512,0.00070,0.0000,0.4562,0.4109
0.000,0.0000,0.00513,0.00070,0.0000,0.4326,0.4325
0.250,0.0289,0.00512,0.00070,-0.0000,0.4105,0.4558
0.500,0.0578,0.00515,0.00072,-0.0000,0.3880,0.4767
0.750,0.0867,0.00516,0.00073,-0.0001,0.3659,0.4991
1.000,0.1155,0.00520,0.00075,-0.0001,0.3429,0.5215
1.250,0.1443,0.00522,0.00078,-0.0001,0.3210,0.5440
1.500,0.1732,0.00527,0.00081,-0.0001,0.2992,0.5656
1.750,0.2019,0.00532,0.00085,-0.0001,0.2764,0.5890
2.000,0.2307,0.00538,0.00090,-0.0001,0.2556,0.6107
2.250,0.2593,0.00545,0.00096,-0.0000,0.2327,0.6336
2.500,0.2881,0.00552,0.00102,0.0000,0.2123,0.6556
2.750,0.3166,0.00560,0.00109,0.0001,0.1922,0.6784
3.000,0.3453,0.00569,0.00116,0.0001,0.1729,0.7006
3.250,0.3738,0.00577,0.00124,0.0002,0.1553,0.7235
3.500,0.4023,0.00588,0.00134,0.0003,0.1375,0.7450
3.750,0.4308,0.00598,0.00144,0.0004,0.1213,0.7671
4.000,0.4593,0.00608,0.00154,0.0005,0.1084,0.7886
4.250,0.4877,0.00619,0.00165,0.0006,0.0956,0.8097
4.500,0.5161,0.00630,0.00176,0.0008,0.0847,0.8294
4.750,0.5444,0.00642,0.00189,0.0010,0.0749,0.8481
5.000,0.5727,0.00654,0.00202,0.0012,0.0665,0.8664
5.250,0.6008,0.00668,0.00216,0.0014,0.0587,0.8832
5.500,0.6290,0.00681,0.00230,0.0016,0.0532,0.8987
5.750,0.6571,0.00693,0.00244,0.0019,0.0483,0.9130
6.000,0.6850,0.00708,0.00259,0.0022,0.0435,0.9261
6.250,0.7128,0.00725,0.00276,0.0026,0.0392,0.9376
6.500,0.7407,0.00739,0.00291,0.0029,0.0366,0.9481
6.750,0.7678,0.00756,0.00308,0.0034,0.0332,0.9582
7.000,0.7950,0.00774,0.00325,0.0039,0.0308,0.9665
7.250,0.8223,0.00792,0.00343,0.0044,0.0286,0.9741
7.500,0.8498,0.00810,0.00362,0.0048,0.0267,0.9807
7.750,0.8779,0.00831,0.00381,0.0051,0.0247,0.9860
8.000,0.9086,0.00852,0.00401,0.0048,0.0232,0.9896
8.250,0.9380,0.00876,0.00424,0.0048,0.0214,0.9933
8.750,1.0022,0.00924,0.00471,0.0036,0.0191,0.9959
9.000,1.0349,0.00950,0.00497,0.0029,0.0181,0.9967
9.250,1.0673,0.00976,0.00522,0.0022,0.0172,0.9976
