alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6522,0.01331,0.01069,-0.0098,1.0000,0.0035
-4.750,-0.6287,0.01001,0.00694,-0.0075,1.0000,0.0039
-4.500,-0.6010,0.00820,0.00480,-0.0053,1.0000,0.0044
-4.250,-0.5690,0.00722,0.00361,-0.0038,0.9996,0.0049
-4.000,-0.5296,0.00662,0.00287,-0.0039,0.9977,0.0052
-3.750,-0.4899,0.00608,0.00221,-0.0043,0.9953,0.0064
-3.500,-0.4519,0.00583,0.00193,-0.0045,0.9902,0.0078
-3.250,-0.4135,0.00562,0.00166,-0.0049,0.9830,0.0091
-3.000,-0.3795,0.00542,0.00145,-0.0045,0.9687,0.0126
-2.750,-0.3484,0.00531,0.00128,-0.0035,0.9484,0.0168
-2.500,-0.3174,0.00521,0.00114,-0.0026,0.9228,0.0244
-2.250,-0.2860,0.00511,0.00099,-0.0019,0.8915,0.0372
-2.000,-0.2543,0.00501,0.00086,-0.0013,0.8570,0.0605
-1.750,-0.2225,0.00490,0.00074,-0.0009,0.8180,0.0949
-1.500,-0.1908,0.00477,0.00063,-0.0006,0.7760,0.1453
-1.250,-0.1590,0.00465,0.00054,-0.0004,0.7316,0.1997
-1.000,-0.1272,0.00454,0.00047,-0.0003,0.6865,0.2578
-0.750,-0.0954,0.00446,0.00042,-0.0002,0.6391,0.3136
-0.500,-0.0636,0.00440,0.00038,-0.0001,0.5888,0.3720
-0.250,-0.0318,0.00435,0.00036,-0.0001,0.5391,0.4310
0.000,-0.0000,0.00435,0.00035,-0.0000,0.4848,0.4850
0.250,0.0318,0.00435,0.00036,0.0001,0.4287,0.5400
0.500,0.0636,0.00439,0.00038,0.0001,0.3747,0.5892
0.750,0.0954,0.00446,0.00042,0.0002,0.3139,0.6387
1.000,0.1272,0.00453,0.00047,0.0003,0.2586,0.6861
1.250,0.1589,0.00467,0.00055,0.0004,0.1933,0.7320
1.500,0.1908,0.00477,0.00063,0.0006,0.1452,0.7763
1.750,0.2225,0.00491,0.00074,0.0009,0.0949,0.8171
2.000,0.2543,0.00501,0.00086,0.0013,0.0612,0.8569
2.250,0.2859,0.00511,0.00099,0.0019,0.0370,0.8919
2.500,0.3174,0.00521,0.00114,0.0026,0.0243,0.9228
3.000,0.3794,0.00542,0.00145,0.0045,0.0125,0.9691
3.250,0.4135,0.00562,0.00166,0.0049,0.0091,0.9829
3.500,0.4519,0.00583,0.00192,0.0045,0.0079,0.9901
3.750,0.4899,0.00608,0.00221,0.0043,0.0064,0.9954
4.000,0.5297,0.00662,0.00287,0.0039,0.0052,0.9977
4.250,0.5690,0.00723,0.00362,0.0038,0.0049,0.9996
4.500,0.6010,0.00821,0.00481,0.0052,0.0044,1.0000
4.750,0.6287,0.01001,0.00694,0.0074,0.0039,1.0000
5.000,0.6522,0.01331,0.01069,0.0098,0.0035,1.0000
5.250,0.6715,0.01778,0.01560,0.0119,0.0033,1.0000
5.750,0.6992,0.02885,0.02739,0.0142,0.0031,1.0000
6.000,0.7052,0.03575,0.03458,0.0136,0.0030,1.0000
6.250,0.7141,0.04141,0.04041,0.0122,0.0030,1.0000
