alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6627,0.00708,0.00292,-0.0077,0.9306,0.0234
-4.750,-0.6291,0.00690,0.00270,-0.0067,0.9142,0.0267
-4.500,-0.5955,0.00675,0.00249,-0.0058,0.8961,0.0303
-4.250,-0.5620,0.00660,0.00229,-0.0051,0.8766,0.0355
-4.000,-0.5285,0.00645,0.00210,-0.0044,0.8545,0.0424
-3.750,-0.4949,0.00632,0.00193,-0.0038,0.8325,0.0506
-3.250,-0.4284,0.00606,0.00161,-0.0028,0.7821,0.0760
-3.000,-0.3952,0.00594,0.00147,-0.0024,0.7557,0.0925
-2.750,-0.3621,0.00581,0.00134,-0.0020,0.7284,0.1128
-2.500,-0.3291,0.00569,0.00122,-0.0017,0.7021,0.1354
-2.250,-0.2961,0.00558,0.00112,-0.0014,0.6741,0.1606
-2.000,-0.2633,0.00547,0.00102,-0.0011,0.6465,0.1902
-1.750,-0.2304,0.00537,0.00094,-0.0009,0.6188,0.2185
-1.500,-0.1975,0.00529,0.00087,-0.0007,0.5913,0.2475
-1.250,-0.1646,0.00522,0.00081,-0.0006,0.5643,0.2778
-1.000,-0.1317,0.00516,0.00077,-0.0004,0.5360,0.3074
-0.500,-0.0659,0.00508,0.00071,-0.0002,0.4816,0.3667
-0.250,-0.0330,0.00507,0.00069,-0.0001,0.4521,0.3961
0.000,0.0000,0.00506,0.00068,-0.0000,0.4244,0.4248
0.250,0.0330,0.00506,0.00069,0.0001,0.3962,0.4528
0.500,0.0659,0.00508,0.00071,0.0002,0.3668,0.4812
0.750,0.0989,0.00511,0.00073,0.0003,0.3375,0.5087
1.000,0.1318,0.00516,0.00077,0.0004,0.3080,0.5361
1.250,0.1647,0.00522,0.00081,0.0005,0.2778,0.5635
1.500,0.1975,0.00529,0.00087,0.0007,0.2473,0.5917
1.750,0.2305,0.00537,0.00094,0.0009,0.2196,0.6193
2.250,0.2963,0.00557,0.00111,0.0013,0.1622,0.6741
2.500,0.3292,0.00570,0.00122,0.0016,0.1355,0.7015
2.750,0.3622,0.00582,0.00134,0.0020,0.1119,0.7292
3.000,0.3953,0.00594,0.00147,0.0023,0.0921,0.7559
3.250,0.4284,0.00606,0.00161,0.0028,0.0755,0.7823
3.750,0.4951,0.00632,0.00193,0.0038,0.0506,0.8317
4.000,0.5286,0.00645,0.00210,0.0044,0.0423,0.8548
4.250,0.5621,0.00660,0.00229,0.0050,0.0355,0.8764
4.500,0.5957,0.00675,0.00249,0.0058,0.0304,0.8961
4.750,0.6293,0.00690,0.00270,0.0067,0.0267,0.9143
5.000,0.6629,0.00708,0.00292,0.0077,0.0234,0.9307
5.250,0.6962,0.00729,0.00318,0.0088,0.0203,0.9447
5.500,0.7297,0.00748,0.00343,0.0100,0.0186,0.9571
5.750,0.7629,0.00774,0.00373,0.0114,0.0165,0.9684
6.000,0.7973,0.00799,0.00403,0.0127,0.0152,0.9774
6.250,0.8322,0.00831,0.00441,0.0140,0.0138,0.9852
6.500,0.8717,0.00868,0.00484,0.0146,0.0128,0.9895
6.750,0.9101,0.00909,0.00534,0.0155,0.0118,0.9938
7.000,0.9505,0.00967,0.00603,0.0161,0.0110,0.9958
7.250,0.9908,0.01051,0.00706,0.0170,0.0105,0.9972
7.750,1.0468,0.01412,0.01134,0.0218,0.0095,1.0000
8.250,1.0509,0.02010,0.01805,0.0311,0.0088,1.0000
