alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.5820,0.03999,0.03275,-0.0129,1.0000,0.1286
-4.750,-0.6184,0.04677,0.03883,-0.0113,1.0000,0.1278
-4.500,-0.6045,0.04246,0.03406,-0.0123,1.0000,0.1312
-4.000,-0.5618,0.03448,0.02514,-0.0124,1.0000,0.1375
-3.500,-0.5029,0.02796,0.01762,-0.0107,1.0000,0.1591
-3.250,-0.4688,0.02522,0.01459,-0.0094,1.0000,0.1808
-3.000,-0.4334,0.02268,0.01207,-0.0079,1.0000,0.2209
-2.750,-0.4020,0.02008,0.00995,-0.0062,1.0000,0.3129
-2.500,-0.3924,0.01743,0.00900,0.0011,1.0000,0.5735
-2.250,-0.2013,0.01764,0.00836,-0.0118,1.0000,1.0000
-2.000,-0.1820,0.01687,0.00732,-0.0115,1.0000,1.0000
-1.750,-0.1610,0.01630,0.00648,-0.0107,1.0000,1.0000
-1.500,-0.1389,0.01589,0.00585,-0.0095,1.0000,1.0000
-1.250,-0.1161,0.01558,0.00536,-0.0082,1.0000,1.0000
-1.000,-0.0930,0.01535,0.00499,-0.0068,1.0000,1.0000
-0.750,-0.0696,0.01519,0.00472,-0.0052,1.0000,1.0000
-0.500,-0.0462,0.01509,0.00451,-0.0036,1.0000,1.0000
-0.250,-0.0231,0.01503,0.00440,-0.0018,1.0000,1.0000
0.000,-0.0000,0.01500,0.00436,0.0000,1.0000,1.0000
0.250,0.0231,0.01503,0.00440,0.0018,1.0000,1.0000
0.500,0.0462,0.01509,0.00451,0.0036,1.0000,1.0000
0.750,0.0696,0.01519,0.00471,0.0052,1.0000,1.0000
1.000,0.0930,0.01535,0.00499,0.0068,1.0000,1.0000
1.250,0.1161,0.01558,0.00536,0.0082,1.0000,1.0000
1.500,0.1389,0.01589,0.00585,0.0095,1.0000,1.0000
1.750,0.1611,0.01630,0.00647,0.0106,1.0000,1.0000
2.000,0.1820,0.01686,0.00732,0.0115,1.0000,1.0000
2.250,0.2014,0.01764,0.00836,0.0118,1.0000,1.0000
2.500,0.3924,0.01743,0.00900,-0.0011,0.5735,1.0000
2.750,0.4020,0.02008,0.00995,0.0062,0.3129,1.0000
3.000,0.4334,0.02268,0.01207,0.0079,0.2208,1.0000
3.250,0.4688,0.02522,0.01459,0.0094,0.1808,1.0000
3.500,0.5029,0.02796,0.01761,0.0107,0.1591,1.0000
3.750,0.5120,0.01997,0.01055,0.0124,0.1443,1.0000
4.000,0.5618,0.03448,0.02514,0.0124,0.1375,1.0000
4.250,0.5863,0.03829,0.02927,0.0130,0.1339,1.0000
4.750,0.5779,0.03531,0.02779,0.0137,0.1305,1.0000
5.000,0.6298,0.05112,0.04342,0.0102,0.1249,1.0000
