alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.7284,0.00914,0.00596,-0.0167,0.9898,0.0094
-4.500,-0.6497,0.00721,0.00354,-0.0130,0.9725,0.0110
-4.250,-0.6125,0.00686,0.00307,-0.0110,0.9586,0.0123
-4.000,-0.5758,0.00658,0.00268,-0.0092,0.9417,0.0143
-3.750,-0.5390,0.00640,0.00241,-0.0076,0.9227,0.0165
-3.500,-0.5021,0.00622,0.00214,-0.0064,0.9003,0.0207
-3.250,-0.4652,0.00608,0.00192,-0.0053,0.8757,0.0259
-3.000,-0.4286,0.00595,0.00172,-0.0044,0.8477,0.0338
-2.750,-0.3920,0.00584,0.00154,-0.0037,0.8184,0.0444
-2.500,-0.3556,0.00572,0.00138,-0.0030,0.7862,0.0609
-2.250,-0.3196,0.00560,0.00122,-0.0025,0.7531,0.0831
-2.000,-0.2838,0.00546,0.00108,-0.0020,0.7194,0.1140
-1.750,-0.2481,0.00533,0.00096,-0.0016,0.6848,0.1487
-1.500,-0.2126,0.00521,0.00085,-0.0012,0.6501,0.1880
-1.250,-0.1770,0.00510,0.00077,-0.0010,0.6157,0.2279
-1.000,-0.1417,0.00500,0.00070,-0.0007,0.5803,0.2725
-0.750,-0.1062,0.00493,0.00064,-0.0005,0.5454,0.3139
-0.500,-0.0708,0.00488,0.00061,-0.0003,0.5085,0.3550
0.000,0.0001,0.00484,0.00058,-0.0000,0.4334,0.4336
0.250,0.0355,0.00486,0.00059,0.0001,0.3936,0.4711
0.500,0.0709,0.00488,0.00061,0.0003,0.3540,0.5080
0.750,0.1064,0.00493,0.00064,0.0005,0.3140,0.5445
1.000,0.1417,0.00500,0.00070,0.0007,0.2707,0.5806
1.250,0.1772,0.00509,0.00077,0.0009,0.2304,0.6155
1.500,0.2127,0.00521,0.00085,0.0012,0.1874,0.6499
1.750,0.2483,0.00532,0.00096,0.0015,0.1506,0.6848
2.000,0.2839,0.00546,0.00108,0.0019,0.1139,0.7200
2.250,0.3197,0.00560,0.00122,0.0024,0.0827,0.7536
2.500,0.3558,0.00571,0.00137,0.0030,0.0616,0.7866
2.750,0.3922,0.00584,0.00154,0.0036,0.0444,0.8185
3.000,0.4287,0.00596,0.00173,0.0044,0.0331,0.8478
3.250,0.4655,0.00608,0.00192,0.0053,0.0259,0.8754
3.500,0.5023,0.00622,0.00214,0.0063,0.0207,0.9004
3.750,0.5392,0.00640,0.00241,0.0076,0.0164,0.9227
4.000,0.5760,0.00658,0.00268,0.0091,0.0143,0.9419
4.250,0.6127,0.00686,0.00307,0.0109,0.0123,0.9585
4.750,0.6889,0.00782,0.00433,0.0149,0.0099,0.9829
5.000,0.7283,0.00913,0.00596,0.0167,0.0094,0.9898
5.500,0.7841,0.01643,0.01428,0.0201,0.0079,0.9988
5.750,0.7929,0.02072,0.01896,0.0228,0.0075,1.0000
6.250,0.7955,0.02950,0.02826,0.0268,0.0069,1.0000
6.750,0.7789,0.03961,0.03870,0.0256,0.0066,1.0000
