alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.7141,0.03362,0.02457,0.0158,1.0000,0.4292
-4.750,-0.7057,0.03248,0.02334,0.0193,1.0000,0.4521
-4.500,-0.6836,0.03218,0.02320,0.0221,1.0000,0.4758
-4.250,-0.6721,0.03134,0.02232,0.0254,1.0000,0.5005
-4.000,-0.6512,0.03111,0.02221,0.0284,1.0000,0.5247
-3.750,-0.6389,0.03041,0.02147,0.0315,1.0000,0.5506
-3.500,-0.6172,0.03036,0.02156,0.0344,1.0000,0.5751
-3.250,-0.6037,0.02984,0.02103,0.0375,1.0000,0.6016
-3.000,-0.5823,0.02991,0.02118,0.0404,1.0000,0.6262
-2.750,-0.5669,0.02962,0.02091,0.0433,1.0000,0.6529
-2.500,-0.5467,0.02973,0.02107,0.0461,1.0000,0.6784
-2.250,-0.5293,0.02969,0.02106,0.0489,1.0000,0.7048
-2.000,-0.5113,0.02976,0.02115,0.0516,1.0000,0.7317
-1.750,-0.4892,0.03007,0.02149,0.0538,1.0000,0.7579
-1.500,-0.4705,0.03020,0.02163,0.0560,1.0000,0.7864
-1.250,-0.4421,0.03072,0.02216,0.0568,1.0000,0.8141
-1.000,-0.4061,0.03139,0.02282,0.0560,1.0000,0.8424
-0.750,-0.3629,0.03214,0.02354,0.0533,1.0000,0.8720
-0.500,-0.3052,0.03308,0.02443,0.0474,0.9993,0.9019
-0.250,-0.1512,0.03471,0.02594,0.0237,0.9789,0.9306
0.000,-0.0000,0.03523,0.02643,0.0000,0.9557,0.9556
0.250,0.1512,0.03470,0.02594,-0.0237,0.9306,0.9789
0.500,0.3052,0.03308,0.02443,-0.0474,0.9019,0.9993
0.750,0.3629,0.03214,0.02353,-0.0533,0.8720,1.0000
1.000,0.4060,0.03139,0.02282,-0.0560,0.8424,1.0000
1.250,0.4421,0.03072,0.02215,-0.0568,0.8141,1.0000
1.500,0.4704,0.03020,0.02163,-0.0560,0.7864,1.0000
1.750,0.4891,0.03006,0.02149,-0.0538,0.7579,1.0000
2.000,0.5112,0.02976,0.02115,-0.0516,0.7318,1.0000
2.250,0.5292,0.02969,0.02106,-0.0489,0.7048,1.0000
2.500,0.5466,0.02973,0.02107,-0.0461,0.6784,1.0000
2.750,0.5668,0.02962,0.02091,-0.0433,0.6529,1.0000
3.000,0.5822,0.02990,0.02117,-0.0404,0.6263,1.0000
3.250,0.6036,0.02984,0.02102,-0.0375,0.6016,1.0000
3.500,0.6171,0.03036,0.02155,-0.0344,0.5752,1.0000
3.750,0.6388,0.03040,0.02147,-0.0315,0.5507,1.0000
4.000,0.6511,0.03110,0.02220,-0.0283,0.5248,1.0000
4.250,0.6720,0.03134,0.02231,-0.0254,0.5006,1.0000
4.500,0.6835,0.03218,0.02319,-0.0221,0.4758,1.0000
4.750,0.7057,0.03248,0.02333,-0.0193,0.4521,1.0000
5.000,0.7140,0.03362,0.02456,-0.0158,0.4293,1.0000
5.250,0.7307,0.03435,0.02522,-0.0127,0.4069,1.0000
5.500,0.7468,0.03521,0.02601,-0.0096,0.3859,1.0000
5.750,0.7543,0.03658,0.02746,-0.0061,0.3667,1.0000
6.000,0.7633,0.03795,0.02887,-0.0026,0.3486,1.0000
6.250,0.7717,0.03942,0.03037,0.0008,0.3319,1.0000
6.500,0.7783,0.04108,0.03206,0.0043,0.3169,1.0000
6.750,0.7841,0.04286,0.03388,0.0077,0.3032,1.0000
7.000,0.7926,0.04456,0.03560,0.0109,0.2901,1.0000
7.250,0.8069,0.04613,0.03712,0.0136,0.2771,1.0000
7.500,0.7729,0.05005,0.04134,0.0185,0.2727,1.0000
7.750,0.7885,0.05172,0.04295,0.0209,0.2612,1.0000
8.000,0.7455,0.05650,0.04792,0.0248,0.2596,1.0000
