alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------
-5.000,-0.6597,0.00712,0.00320,-0.0086,0.9894,0.0098
-4.750,-0.6211,0.00681,0.00286,-0.0085,0.9842,0.0114
-4.500,-0.5858,0.00661,0.00261,-0.0078,0.9750,0.0125
-4.250,-0.5529,0.00638,0.00234,-0.0067,0.9625,0.0152
-4.000,-0.5204,0.00622,0.00214,-0.0056,0.9476,0.0172
-3.750,-0.4879,0.00606,0.00194,-0.0047,0.9299,0.0212
-3.500,-0.4554,0.00593,0.00175,-0.0039,0.9092,0.0266
-3.250,-0.4226,0.00581,0.00158,-0.0032,0.8860,0.0336
-3.000,-0.3899,0.00570,0.00143,-0.0026,0.8593,0.0441
-2.750,-0.3570,0.00560,0.00129,-0.0021,0.8313,0.0565
-2.500,-0.3244,0.00548,0.00115,-0.0017,0.8001,0.0780
-2.000,-0.2593,0.00523,0.00091,-0.0011,0.7353,0.1369
-1.750,-0.2268,0.00513,0.00081,-0.0008,0.7016,0.1718
-1.500,-0.1945,0.00502,0.00073,-0.0006,0.6662,0.2110
-1.250,-0.1620,0.00493,0.00066,-0.0005,0.6329,0.2491
-1.000,-0.1296,0.00485,0.00060,-0.0004,0.5976,0.2925
-0.750,-0.0972,0.00479,0.00056,-0.0003,0.5620,0.3329
-0.500,-0.0648,0.00474,0.00053,-0.0002,0.5252,0.3733
-0.250,-0.0324,0.00471,0.00052,-0.0001,0.4887,0.4128
0.000,0.0001,0.00470,0.00051,-0.0000,0.4514,0.4515
0.250,0.0325,0.00472,0.00052,0.0001,0.4115,0.4880
0.500,0.0649,0.00475,0.00053,0.0001,0.3722,0.5249
0.750,0.0974,0.00479,0.00056,0.0002,0.3328,0.5612
1.000,0.1297,0.00485,0.00060,0.0003,0.2904,0.5984
1.250,0.1622,0.00492,0.00066,0.0005,0.2524,0.6328
1.500,0.1946,0.00503,0.00073,0.0006,0.2101,0.6659
1.750,0.2271,0.00512,0.00081,0.0008,0.1743,0.7010
2.000,0.2594,0.00523,0.00091,0.0011,0.1367,0.7364
2.250,0.2919,0.00537,0.00103,0.0013,0.1023,0.7688
2.500,0.3245,0.00547,0.00115,0.0017,0.0783,0.8011
2.750,0.3571,0.00560,0.00129,0.0021,0.0564,0.8318
3.000,0.3900,0.00570,0.00143,0.0026,0.0432,0.8595
3.250,0.4228,0.00581,0.00158,0.0031,0.0334,0.8858
3.500,0.4556,0.00593,0.00175,0.0038,0.0265,0.9092
3.750,0.4881,0.00606,0.00194,0.0047,0.0211,0.9301
4.000,0.5206,0.00623,0.00214,0.0056,0.0171,0.9478
4.250,0.5532,0.00638,0.00234,0.0066,0.0152,0.9625
4.500,0.5859,0.00661,0.00262,0.0078,0.0125,0.9748
4.750,0.6211,0.00681,0.00286,0.0085,0.0114,0.9841
5.000,0.6597,0.00711,0.00319,0.0086,0.0099,0.9893
5.250,0.6978,0.00748,0.00363,0.0090,0.0089,0.9940
5.500,0.7380,0.00792,0.00418,0.0091,0.0081,0.9961
6.000,0.8173,0.00960,0.00622,0.0101,0.0069,0.9992
6.500,0.8577,0.01481,0.01229,0.0163,0.0061,1.0000
6.750,0.8629,0.01934,0.01729,0.0197,0.0056,1.0000
7.000,0.8644,0.02429,0.02262,0.0223,0.0053,1.0000
7.250,0.8629,0.02935,0.02797,0.0239,0.0052,1.0000
7.500,0.8583,0.03442,0.03326,0.0247,0.0050,1.0000
8.000,0.8364,0.04440,0.04353,0.0237,0.0049,1.0000
8.250,0.8215,0.04982,0.04904,0.0197,0.0049,1.0000
8.500,0.8144,0.05879,0.05806,0.0087,0.0049,1.0000
8.750,0.8073,0.06646,0.06573,0.0014,0.0049,1.0000
9.000,0.7987,0.07289,0.07215,-0.0035,0.0049,1.0000
9.500,0.7816,0.08508,0.08432,-0.0114,0.0048,1.0000
